Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR6443836_1	28.594908506519594	63.39165053508162
SRR6443836_2	12.586288761459514	72.6870959494503
SRR6443839_1	11.70181721713755	78.25706327099088
SRR6443839_2	8.645708979970818	75.98620506698497
SRR6443844_1	18.20201318986463	73.09961818812913
SRR6443844_2	9.413398125650815	74.89760499826446
SRR6443871_1	32.06844839590809	60.45203791976866
SRR6443871_2	18.80456322639387	68.1431096352632
SRR6443905_1	22.846848411182496	68.3278346935232
SRR6443905_2	13.452856398680327	70.10331654801182
SRR6443910_1	16.466893884272203	74.95500325508368
SRR6443910_2	12.281239229502546	73.17811051966454
SRR6443915_1	40.0351132098317	52.842353795859076
SRR6443915_2	14.541712071679381	73.57428260079915
SRR6443923_1	62.2330623306233	31.376693766937635
SRR6443923_2	58.33604336043361	30.61246612466124
SRR6443924_1	50.803436480789124	41.85426775912814
SRR6443924_2	28.74870734229576	57.49343727627077
SRR6443934_1	25.988544341299622	65.8502863914675
SRR6443934_2	15.350582658502866	70.66561327276315
SRR6443943_1	31.11312410081526	60.51579900889864
SRR6443943_2	12.575265092982363	73.0431075824586
SRR6443949_1	19.166746848840567	71.89454440488788
SRR6443949_2	15.245838545174637	68.86365823150197
SRR6443958_1	41.23014372163389	51.79652042360059
SRR6443958_2	17.69572617246596	66.19232223903177
SRR6443964_1	40.26048026048026	53.341473341473325
SRR6443964_2	16.833536833536833	70.19943019943022
SRR6443968_1	44.00546428443038	47.94550095265483
SRR6443968_2	21.278354962792537	62.64514505518204
SRR6443974_1	27.149532710280372	64.35617860851505
SRR6443974_2	25.555555555555554	60.30114226375903
SRR6444008_1	50.72199568241784	41.70304629407529
SRR6444008_2	29.201247301511152	57.543775485727984
SRR6444010_1	22.86940785320483	69.30263877782923
SRR6444010_2	14.629013930390137	70.83876941206171
SRR6444024_1	29.999721425188735	61.436888876507794
SRR6444024_2	28.4313452377636	58.054990667743844
SRR6444025_1	50.26077291381669	43.98512311901505
SRR6444025_2	14.970930232558139	71.69972640218882
SRR6444031_1	29.84032890333684	63.5672626446123
SRR6444031_2	26.627784683048095	57.92618797208148
SRR6444036_1	56.78695992597338	36.557762118300246
SRR6444036_2	24.193892803758274	63.37105843832306
SRR6444040_1	56.5809195867936	36.61332793194245
SRR6444040_2	18.13652015393964	69.03787725339275
SRR6444041_1	35.155526141628066	57.92190602250164
SRR6444041_2	21.396426207809398	65.49305095962934
SRR6444047_1	42.01559934318555	50.79365079365079
SRR6444047_2	23.49137931034483	65.28119868637106
SRR6444051_1	34.01098730562712	58.24513485831344
SRR6444051_2	13.600670411868773	73.28284552593193
SRR6444056_1	55.16002957642336	38.08756733917823
SRR6444056_2	28.401288687018063	60.07975071300305
SRR6444059_1	44.6056057071373	48.02718328430879
SRR6444059_2	15.146904689454644	71.83284308753426
SRR6444066_1	58.92740657906999	34.99207902339017
SRR6444066_2	24.89516354487	63.409747460628125
SRR6444070_1	31.285424803970514	60.79116619188862
SRR6444070_2	12.848374497077913	73.31355907315493
SRR6444072_1	44.03162055335969	49.10671936758894
SRR6444072_2	21.19631093544137	64.41106719367589
SRR6444079_1	53.17488057788652	41.32587673307702
SRR6444079_2	48.90481183735291	38.75684492601654
SRR6444103_1	27.132569716301774	65.7097288676236
SRR6444103_2	18.636121985404284	67.58977333140014
SRR6444123_1	34.866814650388456	56.72586015538288
SRR6444123_2	15.332963374028857	69.26748057713647
SRR6444127_1	53.82848392036753	39.43885364252897
SRR6444127_2	27.647123167796984	59.07350689127107
SRR6444141_1	22.57688514301085	68.74383573926295
SRR6444141_2	13.498610239397472	73.73352461221191
