Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6443836_1	SRR6443836_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27379.0	6.8 Mbp	0.0	248-251	51.0	3.221447094488476	249.93031155264984	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443836_2	SRR6443836_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27379.0	6.8 Mbp	0.0	248-251	51.0	8.075532342306147	250.98754519887504	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443839_1	SRR6443839_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37695.0	9.4 Mbp	0.0	248-251	53.0	3.9501260114073484	249.93341291948533	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443839_2	SRR6443839_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37695.0	9.4 Mbp	0.0	248-251	53.0	7.934739355352169	250.98782331874253	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443844_1	SRR6443844_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14405.0	3.6 Mbp	0.0	248-251	52.0	4.713641096841375	249.93967372440125	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443844_2	SRR6443844_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14405.0	3.6 Mbp	0.0	248-251	52.0	10.28115237764665	250.98562998958695	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443871_1	SRR6443871_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37342.0	9.3 Mbp	0.0	248-251	51.0	2.935032938782068	249.94981522146645	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443871_2	SRR6443871_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37342.0	9.3 Mbp	0.0	248-251	52.0	6.547587167264742	250.98955599592952	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443905_1	SRR6443905_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23036.0	5.7 Mbp	0.0	248-251	51.0	4.306303177635006	249.98966834519882	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443905_2	SRR6443905_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23036.0	5.7 Mbp	0.0	248-251	52.0	9.771661746831047	250.98584823754123	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443910_1	SRR6443910_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26113.0	6.5 Mbp	0.0	248-251	52.0	3.523149389193122	249.9673725730479	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443910_2	SRR6443910_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26113.0	6.5 Mbp	0.0	248-251	53.0	7.28755792134186	250.9886646497913	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443915_1	SRR6443915_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33036.0	8.2 Mbp	0.0	248-251	51.0	2.7454897687371353	250.03929047100132	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443915_2	SRR6443915_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33036.0	8.2 Mbp	0.0	248-251	52.0	6.290107761230174	250.98725632643178	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443923_1	SRR6443923_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18450.0	4.6 Mbp	0.0	248-251	52.0	2.742547425474255	249.99414634146342	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443923_2	SRR6443923_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18450.0	4.6 Mbp	0.0	248-251	52.0	5.696476964769648	250.990189701897	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443924_1	SRR6443924_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25142.0	6.2 Mbp	0.0	248-251	50.0	2.756343966271577	249.9821016625567	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443924_2	SRR6443924_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25142.0	6.3 Mbp	0.0	248-251	50.0	7.561053217723332	250.98524381513005	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443934_1	SRR6443934_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25315.0	6.3 Mbp	0.0	248-251	51.0	3.7408650997432353	249.9704523010073	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443934_2	SRR6443934_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25315.0	6.3 Mbp	0.0	248-251	51.0	7.722694054908157	250.98968990716966	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443943_1	SRR6443943_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18767.0	4.6 Mbp	0.0	248-251	51.0	4.102946661693398	250.0065540576544	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443943_2	SRR6443943_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18767.0	4.7 Mbp	0.0	248-251	52.0	8.706772526242872	250.98539990408696	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443949_1	SRR6443949_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20786.0	5.1 Mbp	0.0	248-251	52.0	4.199942268834793	249.93259886462042	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443949_2	SRR6443949_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20786.0	5.2 Mbp	0.0	248-251	53.0	9.698835754834985	250.9885499855672	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443958_1	SRR6443958_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21152.0	5.2 Mbp	0.0	164-251	50.0	3.219553706505295	249.86119515885022	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443958_2	SRR6443958_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21152.0	5.3 Mbp	0.0	248-251	51.0	10.434001512859306	250.98246028744327	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443964_1	SRR6443964_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24570.0	6.1 Mbp	0.0	248-251	51.0	2.385022385022385	250.1846153846154	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443964_2	SRR6443964_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24570.0	6.1 Mbp	0.0	248-251	51.0	6.919006919006919	250.98693528693528	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443968_1	SRR6443968_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27817.0	6.9 Mbp	0.0	174-251	52.0	3.300140202034727	249.84261422870907	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443968_2	SRR6443968_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27817.0	6.9 Mbp	0.0	248-251	53.0	8.009490599273825	250.9906172484452	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443974_1	SRR6443974_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19260.0	4.8 Mbp	0.0	248-251	52.0	3.8733125649013505	249.93198338525443	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443974_2	SRR6443974_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19260.0	4.8 Mbp	0.0	244-251	52.0	7.9179646936656285	250.986240913811	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444008_1	SRR6444008_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20845.0	5.2 Mbp	0.0	248-251	50.0	3.0510913888222597	250.01352842408252	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444008_2	SRR6444008_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20845.0	5.2 Mbp	0.0	248-251	51.0	7.076037419045335	250.9885344207244	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444010_1	SRR6444010_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23761.0	5.9 Mbp	0.0	248-251	51.0	3.5057447077143222	250.06822103446825	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444010_2	SRR6444010_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23761.0	5.9 Mbp	0.0	248-251	51.0	8.640208745423173	250.98308152013803	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444024_1	SRR6444024_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35897.0	8.9 Mbp	0.0	248-251	52.0	3.242610803131181	249.94108142741734	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444024_2	SRR6444024_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35897.0	9 Mbp	0.0	248-251	52.0	6.426720895896593	250.98980416190767	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444025_1	SRR6444025_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23392.0	5.8 Mbp	0.0	248-251	50.0	2.718878248974008	250.0138936388509	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444025_2	SRR6444025_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23392.0	5.8 Mbp	0.0	249-251	51.0	7.694938440492476	250.98939808481532	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444031_1	SRR6444031_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20918.0	5.2 Mbp	0.0	248-251	51.0	3.0834687828664307	249.95659240845205	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444031_2	SRR6444031_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20918.0	5.2 Mbp	0.0	248-251	52.0	9.283870350893967	250.98541925614305	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444036_1	SRR6444036_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14049.0	3.5 Mbp	0.0	248-251	49.0	3.1247775642394475	249.9745889387145	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444036_2	SRR6444036_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14049.0	3.5 Mbp	0.0	248-251	50.0	7.545020997935796	250.98733005907894	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444040_1	SRR6444040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24685.0	6.1 Mbp	0.0	248-251	50.0	2.5967186550536763	250.03678347174397	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444040_2	SRR6444040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24685.0	6.1 Mbp	0.0	248-251	50.0	6.724731618391735	250.9904800486125	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444041_1	SRR6444041_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15110.0	3.7 Mbp	0.0	248-251	51.0	3.6796823295830574	249.99861019192588	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444041_2	SRR6444041_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15110.0	3.7 Mbp	0.0	248-251	51.0	8.28590337524818	250.98881535407014	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444047_1	SRR6444047_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29232.0	7.3 Mbp	0.0	248-251	51.0	2.586206896551724	250.02220169677065	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444047_2	SRR6444047_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29232.0	7.3 Mbp	0.0	249-251	52.0	6.024220032840723	250.98799261083744	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444051_1	SRR6444051_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32219.0	8 Mbp	0.0	248-251	51.0	3.1130699276824236	249.93717992488905	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444051_2	SRR6444051_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32219.0	8 Mbp	0.0	248-251	51.0	6.837580309755113	250.9881126043639	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444056_1	SRR6444056_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37868.0	9.4 Mbp	0.0	235-251	49.0	2.461180944332946	249.97594274849476	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444056_2	SRR6444056_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37868.0	9.5 Mbp	0.0	248-251	50.0	5.593112918559206	250.98822224569557	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444059_1	SRR6444059_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29577.0	7.3 Mbp	0.0	248-251	50.0	2.8231396017175507	249.97836156472934	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
