Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR6443836_1	96.77855290551152	51.0	249.93031155264984	250	40.0	27379.0
SRR6443836_2	91.92446765769385	51.0	250.98754519887504	251	40.0	27379.0
SRR6443839_1	96.04987398859265	53.0	249.93341291948533	250	40.0	37695.0
SRR6443839_2	92.06526064464784	53.0	250.98782331874253	251	40.0	37695.0
SRR6443844_1	95.28635890315863	52.0	249.93967372440125	250	40.0	14405.0
SRR6443844_2	89.71884762235335	52.0	250.98562998958695	251	40.0	14405.0
SRR6443871_1	97.06496706121793	51.0	249.94981522146645	250	40.0	37342.0
SRR6443871_2	93.45241283273526	52.0	250.98955599592952	251	40.0	37342.0
SRR6443905_1	95.693696822365	51.0	249.98966834519882	250	40.0	23036.0
SRR6443905_2	90.22833825316896	52.0	250.98584823754123	251	40.0	23036.0
SRR6443910_1	96.47685061080688	52.0	249.9673725730479	250	40.0	26113.0
SRR6443910_2	92.71244207865814	53.0	250.9886646497913	251	40.0	26113.0
SRR6443915_1	97.25451023126287	51.0	250.03929047100132	250	40.0	33036.0
SRR6443915_2	93.70989223876983	52.0	250.98725632643178	251	40.0	33036.0
SRR6443923_1	97.25745257452574	52.0	249.99414634146342	250	40.0	18450.0
SRR6443923_2	94.30352303523036	52.0	250.990189701897	251	40.0	18450.0
SRR6443924_1	97.24365603372843	50.0	249.9821016625567	250	40.0	25142.0
SRR6443924_2	92.43894678227667	50.0	250.98524381513005	251	40.0	25142.0
SRR6443934_1	96.25913490025677	51.0	249.9704523010073	250	40.0	25315.0
SRR6443934_2	92.27730594509184	51.0	250.98968990716966	251	40.0	25315.0
SRR6443943_1	95.8970533383066	51.0	250.0065540576544	250	40.0	18767.0
SRR6443943_2	91.29322747375713	52.0	250.98539990408696	251	40.0	18767.0
SRR6443949_1	95.80005773116521	52.0	249.93259886462042	250	40.0	20786.0
SRR6443949_2	90.30116424516501	53.0	250.9885499855672	251	40.0	20786.0
SRR6443958_1	96.7804462934947	50.0	249.86119515885022	250	40.0	21152.0
SRR6443958_2	89.56599848714069	51.0	250.98246028744327	251	50.0	21152.0
SRR6443964_1	97.61497761497762	51.0	250.1846153846154	250	40.0	24570.0
SRR6443964_2	93.08099308099308	51.0	250.98693528693528	251	40.0	24570.0
SRR6443968_1	96.69985979796527	52.0	249.84261422870907	250	40.0	27817.0
SRR6443968_2	91.99050940072618	53.0	250.9906172484452	251	40.0	27817.0
SRR6443974_1	96.12668743509865	52.0	249.93198338525443	250	40.0	19260.0
SRR6443974_2	92.08203530633438	52.0	250.986240913811	251	40.0	19260.0
SRR6444008_1	96.94890861117774	50.0	250.01352842408252	250	40.0	20845.0
SRR6444008_2	92.92396258095467	51.0	250.9885344207244	251	40.0	20845.0
SRR6444010_1	96.49425529228567	51.0	250.06822103446825	250	40.0	23761.0
SRR6444010_2	91.35979125457683	51.0	250.98308152013803	251	40.0	23761.0
SRR6444024_1	96.75738919686881	52.0	249.94108142741734	250	40.0	35897.0
SRR6444024_2	93.5732791041034	52.0	250.98980416190767	251	40.0	35897.0
SRR6444025_1	97.28112175102599	50.0	250.0138936388509	250	40.0	23392.0
SRR6444025_2	92.30506155950752	51.0	250.98939808481532	251	40.0	23392.0
SRR6444031_1	96.91653121713357	51.0	249.95659240845205	250	40.0	20918.0
SRR6444031_2	90.71612964910604	52.0	250.98541925614305	251	40.0	20918.0
SRR6444036_1	96.87522243576055	49.0	249.9745889387145	250	40.0	14049.0
SRR6444036_2	92.4549790020642	50.0	250.98733005907894	251	40.0	14049.0
SRR6444040_1	97.40328134494632	50.0	250.03678347174397	250	40.0	24685.0
SRR6444040_2	93.27526838160827	50.0	250.9904800486125	251	40.0	24685.0
SRR6444041_1	96.32031767041694	51.0	249.99861019192588	250	40.0	15110.0
SRR6444041_2	91.71409662475182	51.0	250.98881535407014	251	40.0	15110.0
