Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR6443835_1	62.28471532783701	30.800276255017927
SRR6443835_2	27.213277506798462	55.04165407691977
SRR6443836_1	28.594908506519594	63.39165053508162
SRR6443836_2	12.586288761459514	72.6870959494503
SRR6443837_1	28.99910634495085	61.63985701519215
SRR6443837_2	15.326184092940126	64.51444742329457
SRR6443838_1	24.382683801762266	65.99101452303833
SRR6443838_2	14.564831261101244	66.03629018214747
SRR6443839_1	11.70181721713755	78.25706327099088
SRR6443839_2	8.645708979970818	75.98620506698497
SRR6443840_1	74.73300434558445	19.614053178168874
SRR6443840_2	66.67525963025706	22.081461294836714
SRR6443841_1	42.77095034198965	48.72657509870432
SRR6443841_2	29.152532947784017	50.46988822777069
SRR6443842_1	50.32855247362102	41.94414607948442
SRR6443842_2	22.809123649459785	61.48354078473496
SRR6443843_1	58.03369088986252	35.04305786372563
SRR6443843_2	33.25653421967065	47.20501586342345
SRR6443844_1	18.20201318986463	73.09961818812913
SRR6443844_2	9.413398125650815	74.89760499826446
SRR6443845_1	74.8292399360558	19.066996076151725
SRR6443845_2	30.150656396841548	53.17056629365886
SRR6443846_1	55.81282805345643	36.425566764694935
SRR6443846_2	25.458809514946207	53.21445854893345
SRR6443847_1	32.92838331492651	58.95845722538444
SRR6443847_2	29.513210432418656	53.11641605074618
SRR6443848_1	28.192470705559714	60.93243580154575
SRR6443848_2	13.201196709050112	68.39441535776615
SRR6443849_1	36.11562066917442	54.327855870124694
SRR6443849_2	25.6899623836864	53.666600673134035
SRR6443850_1	30.94917710381948	58.60331918710969
SRR6443850_2	13.152537694510574	67.31877307387089
SRR6443851_1	55.83283083630967	37.66408460503732
SRR6443851_2	33.883760842339626	53.02657822719044
SRR6443852_1	41.33596577821652	49.64132938466598
SRR6443852_2	21.118789075353735	58.88779203685428
SRR6443853_1	20.03671279299633	73.23849195142617
SRR6443853_2	12.856537701214346	70.23086698672694
SRR6443854_1	64.03349767981439	29.071200696055698
SRR6443854_2	28.715922273781903	53.44765081206498
SRR6443855_1	58.34868299871063	34.59661079388469
SRR6443855_2	53.393811014919876	34.52753729968687
SRR6443856_1	33.22812336903845	56.88048313741084
SRR6443856_2	16.84022168650744	60.404602728831684
SRR6443857_1	75.71369806663924	18.099547511312238
SRR6443857_2	27.09584533113945	54.138214726450066
SRR6443858_1	45.55269393221387	45.84320593386221
SRR6443858_2	15.64438034408159	64.99845472339544
SRR6443859_1	52.020079702327216	39.79832228802923
SRR6443859_2	19.568902882053766	64.22422334265404
SRR6443860_1	18.29268292682927	71.32163394804677
SRR6443860_2	7.537675986515962	70.26075748562363
SRR6443861_1	55.24658623889699	36.65318838658363
SRR6443861_2	27.021742012461885	54.358345485881
SRR6443862_1	49.22895695009638	43.14360676804457
SRR6443862_2	34.929856500321264	50.85403726708074
SRR6443863_1	51.55843064773586	41.208098798622174
