Sample	Unique Reads	Duplicate Reads
SRR6443835_1	1043.0	45291.0
SRR6443835_2	3663.0	42671.0
SRR6443836_1	882.0	26497.0
SRR6443836_2	2211.0	25168.0
SRR6443837_1	698.0	12730.0
SRR6443837_2	1880.0	11548.0
SRR6443838_1	1217.0	27496.0
SRR6443838_2	2954.0	25759.0
SRR6443839_1	1489.0	36206.0
SRR6443839_2	2991.0	34704.0
SRR6443840_1	495.0	26659.0
SRR6443840_2	1697.0	25457.0
SRR6443841_1	1071.0	34895.0
SRR6443841_2	3775.0	32191.0
SRR6443842_1	856.0	30798.0
SRR6443842_2	2721.0	28933.0
SRR6443843_1	747.0	25729.0
SRR6443843_2	3069.0	23407.0
SRR6443844_1	679.0	13726.0
SRR6443844_2	1481.0	12924.0
SRR6443845_1	524.0	20119.0
SRR6443845_2	2025.0	18618.0
SRR6443846_1	771.0	26092.0
SRR6443846_2	3310.0	23553.0
SRR6443847_1	1235.0	34078.0
SRR6443847_2	3390.0	31923.0
SRR6443848_1	1624.0	38486.0
SRR6443848_2	3862.0	36248.0
SRR6443849_1	1503.0	49007.0
SRR6443849_2	5091.0	45419.0
SRR6443850_1	1225.0	27758.0
SRR6443850_2	3250.0	25733.0
SRR6443851_1	584.0	20975.0
SRR6443851_2	1648.0	19911.0
SRR6443852_1	664.0	14531.0
SRR6443852_2	1949.0	13246.0
SRR6443853_1	868.0	27460.0
SRR6443853_2	2587.0	25741.0
SRR6443854_1	667.0	26917.0
SRR6443854_2	2597.0	24987.0
SRR6443855_1	643.0	21073.0
SRR6443855_2	1427.0	20289.0
SRR6443856_1	1466.0	38771.0
SRR6443856_2	5122.0	35115.0
SRR6443857_1	556.0	23754.0
SRR6443857_2	2566.0	21744.0
SRR6443858_1	1274.0	47261.0
SRR6443858_2	4634.0	43901.0
SRR6443859_1	1159.0	44260.0
SRR6443859_2	3407.0	42012.0
SRR6443860_1	1702.0	38642.0
SRR6443860_2	4619.0	35725.0
SRR6443861_1	958.0	29214.0
SRR6443861_2	2991.0	27181.0
SRR6443862_1	972.0	36380.0
SRR6443862_2	2586.0	34766.0
SRR6443863_1	768.0	23038.0
SRR6443863_2	2364.0	21442.0
SRR6443864_1	513.0	6057.0
SRR6443864_2	1020.0	5550.0
SRR6443865_1	394.0	7153.0
SRR6443865_2	1036.0	6511.0
SRR6443866_1	1170.0	36542.0
SRR6443866_2	4703.0	33009.0
SRR6443867_1	1300.0	29888.0
SRR6443867_2	3898.0	27290.0
SRR6443868_1	584.0	18726.0
SRR6443868_2	1461.0	17849.0
SRR6443869_1	1255.0	25571.0
SRR6443869_2	2875.0	23951.0
SRR6443870_1	774.0	16677.0
SRR6443870_2	1852.0	15599.0
SRR6443871_1	1096.0	36246.0
SRR6443871_2	2445.0	34897.0
SRR6443872_1	1276.0	32271.0
SRR6443872_2	5323.0	28224.0
SRR6443873_1	1554.0	33361.0
SRR6443873_2	3870.0	31045.0
SRR6443874_1	1318.0	33766.0
SRR6443874_2	4139.0	30945.0
SRR6443875_1	1899.0	48409.0
SRR6443875_2	6882.0	43426.0
SRR6443876_1	1303.0	29446.0
SRR6443876_2	3236.0	27513.0
SRR6443877_1	1664.0	45842.0
SRR6443877_2	4599.0	42907.0
SRR6443878_1	1464.0	39065.0
SRR6443878_2	4609.0	35920.0
SRR6443879_1	319.0	9332.0
SRR6443879_2	1297.0	8354.0
SRR6443880_1	463.0	12198.0
SRR6443880_2	1659.0	11002.0
SRR6443881_1	1514.0	44593.0
SRR6443881_2	3910.0	42197.0
SRR6443882_1	1001.0	31921.0
SRR6443882_2	3130.0	29792.0
SRR6443883_1	887.0	34325.0
SRR6443883_2	3203.0	32009.0
SRR6443884_1	1658.0	41084.0
SRR6443884_2	5725.0	37017.0
SRR6443885_1	940.0	30546.0
SRR6443885_2	2848.0	28638.0
SRR6443886_1	922.0	20016.0
SRR6443886_2	2874.0	18064.0
SRR6443887_1	892.0	14606.0
SRR6443887_2	1915.0	13583.0
SRR6443888_1	1432.0	36628.0
SRR6443888_2	3905.0	34155.0
SRR6443889_1	1452.0	49529.0
SRR6443889_2	4599.0	46382.0
SRR6443890_1	2190.0	46930.0
SRR6443890_2	5376.0	43744.0
SRR6443891_1	775.0	25742.0
SRR6443891_2	3065.0	23452.0
SRR6443892_1	1348.0	42695.0
SRR6443892_2	3830.0	40213.0
SRR6443893_1	668.0	27984.0
SRR6443893_2	2150.0	26502.0
SRR6443894_1	1631.0	37793.0
SRR6443894_2	4680.0	34744.0
SRR6443895_1	1456.0	33591.0
SRR6443895_2	4067.0	30980.0
SRR6443896_1	761.0	19647.0
SRR6443896_2	1743.0	18665.0
SRR6443897_1	855.0	44210.0
SRR6443897_2	3916.0	41149.0
SRR6443898_1	1371.0	40645.0
SRR6443898_2	4126.0	37890.0
SRR6443899_1	969.0	29703.0
SRR6443899_2	3206.0	27466.0
SRR6443900_1	1260.0	37381.0
SRR6443900_2	4551.0	34090.0
SRR6443901_1	846.0	23512.0
SRR6443901_2	1762.0	22596.0
SRR6443902_1	1179.0	33025.0
SRR6443902_2	3405.0	30799.0
