Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6443835_1	SRR6443835_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46334.0	11.6 Mbp	0.0	248-251	48.0	2.2510467475288123	250.9934821081711	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443835_2	SRR6443835_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46334.0	11.5 Mbp	0.0	244-251	48.0	7.90564164544395	250.26712565286832	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443836_1	SRR6443836_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27379.0	6.8 Mbp	0.0	248-251	51.0	3.221447094488476	249.93031155264984	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443836_2	SRR6443836_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27379.0	6.8 Mbp	0.0	248-251	51.0	8.075532342306147	250.98754519887504	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443837_1	SRR6443837_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13428.0	3.3 Mbp	0.0	248-251	49.0	5.198093535895144	250.99143580577896	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443837_2	SRR6443837_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13428.0	3.3 Mbp	0.0	245-251	50.0	14.000595770032767	250.13993148644624	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443838_1	SRR6443838_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28713.0	7.2 Mbp	0.0	248-251	51.0	4.238498241214781	250.9952286420785	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443838_2	SRR6443838_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28713.0	7.1 Mbp	0.0	245-251	52.0	10.288022846794135	250.12234876188487	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443839_1	SRR6443839_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37695.0	9.4 Mbp	0.0	248-251	53.0	3.9501260114073484	249.93341291948533	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443839_2	SRR6443839_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37695.0	9.4 Mbp	0.0	248-251	53.0	7.934739355352169	250.98782331874253	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443840_1	SRR6443840_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27154.0	6.8 Mbp	0.0	248-251	48.0	1.8229358473889665	250.9912351771378	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443840_2	SRR6443840_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27154.0	6.7 Mbp	0.0	245-251	48.0	6.249539662664801	250.06912425425352	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443841_1	SRR6443841_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35966.0	9 Mbp	0.0	248-251	49.0	2.9778123783573376	250.99149196463327	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443841_2	SRR6443841_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35966.0	9 Mbp	0.0	246-251	50.0	10.493243618973475	250.27851304009343	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443842_1	SRR6443842_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31654.0	7.9 Mbp	0.0	248-251	49.0	2.704239590573071	250.03171795033802	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6443842_2	SRR6443842_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31654.0	7.9 Mbp	0.0	248-251	50.0	8.596070006950148	250.98016048524673	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
