Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
SRR6443835_1	97.74895325247118	48.0	250.9934821081711	251	40.0	46334.0
SRR6443835_2	92.09435835455605	48.0	250.26712565286832	250	50.0	46334.0
SRR6443836_1	96.77855290551152	51.0	249.93031155264984	250	40.0	27379.0
SRR6443836_2	91.92446765769385	51.0	250.98754519887504	251	40.0	27379.0
SRR6443837_1	94.80190646410486	49.0	250.99143580577896	251	40.0	13428.0
SRR6443837_2	85.99940422996724	50.0	250.13993148644624	250	50.0	13428.0
SRR6443838_1	95.76150175878522	51.0	250.9952286420785	251	40.0	28713.0
SRR6443838_2	89.71197715320586	52.0	250.12234876188487	250	50.0	28713.0
SRR6443839_1	96.04987398859265	53.0	249.93341291948533	250	40.0	37695.0
SRR6443839_2	92.06526064464784	53.0	250.98782331874253	251	40.0	37695.0
SRR6443840_1	98.17706415261104	48.0	250.9912351771378	251	40.0	27154.0
SRR6443840_2	93.7504603373352	48.0	250.06912425425352	250	50.0	27154.0
SRR6443841_1	97.02218762164266	49.0	250.99149196463327	251	40.0	35966.0
SRR6443841_2	89.50675638102652	50.0	250.27851304009343	250	50.0	35966.0
SRR6443842_1	97.29576040942693	49.0	250.03171795033802	250	40.0	31654.0
SRR6443842_2	91.40392999304986	50.0	250.98016048524673	251	40.0	31654.0
SRR6443843_1	97.1785768242937	49.0	250.99297476960265	251	40.0	26476.0
SRR6443843_2	88.40836984438737	50.0	250.11693609306542	250	50.0	26476.0
SRR6443844_1	95.28635890315863	52.0	249.93967372440125	250	40.0	14405.0
SRR6443844_2	89.71884762235335	52.0	250.98562998958695	251	40.0	14405.0
SRR6443845_1	97.46160926221964	48.0	250.9943322191542	251	40.0	20643.0
SRR6443845_2	90.19037930533352	49.0	250.0553698590321	250	50.0	20643.0
SRR6443846_1	97.12988124930202	49.0	250.9916986189182	251	40.0	26863.0
SRR6443846_2	87.67821911178945	49.0	250.93042474779438	251	50.0	26863.0
SRR6443847_1	96.50270438648656	52.0	250.99173109053322	251	40.0	35313.0
SRR6443847_2	90.40013592727891	53.0	250.13768300625833	250	50.0	35313.0
SRR6443848_1	95.95113438045375	51.0	250.9881575666916	251	40.0	40110.0
SRR6443848_2	90.37147843430566	52.0	250.82400897531787	251	40.0	40110.0
SRR6443849_1	97.02435161354187	50.0	250.99124925757275	251	40.0	50510.0
SRR6443849_2	89.92080776083944	50.0	250.30944367451988	250	50.0	50510.0
SRR6443850_1	95.7733843977504	51.0	250.9792637063106	251	40.0	28983.0
SRR6443850_2	88.78653003484801	51.0	250.45233412690197	251	50.0	28983.0
SRR6443851_1	97.2911545062387	49.0	249.9748133030289	250	40.0	21559.0
SRR6443851_2	92.3558606614407	50.0	250.9847859362679	251	40.0	21559.0
SRR6443852_1	95.63672260612043	50.0	250.9935505100362	251	40.0	15195.0
SRR6443852_2	87.17341230667984	50.0	250.0304047384008	250	50.0	15195.0
SRR6443853_1	96.93589381530641	52.0	250.99060999717594	251	40.0	28328.0
SRR6443853_2	90.86769274216323	53.0	250.21854702061566	250	50.0	28328.0
SRR6443854_1	97.58193155452436	49.0	250.99633845707658	251	40.0	27584.0
SRR6443854_2	90.58512180974478	49.0	250.09469257540604	250	50.0	27584.0
SRR6443855_1	97.03904954871985	51.0	250.02795174065204	250	40.0	21716.0
SRR6443855_2	93.4288082519801	52.0	250.9885798489593	251	40.0	21716.0
SRR6443856_1	96.35658722071724	50.0	250.9917985933345	251	40.0	40237.0
SRR6443856_2	87.27042274523448	51.0	250.1500608892313	250	50.0	40237.0
SRR6443857_1	97.71287535993419	48.0	250.9912381735911	251	40.0	24310.0
SRR6443857_2	89.44467297408474	48.0	250.74368572603868	251	40.0	24310.0
SRR6443858_1	97.37509014113526	50.0	250.9923972391058	251	40.0	48535.0
SRR6443858_2	90.45225095292056	50.0	250.94628618522717	251	50.0	48535.0
SRR6443859_1	97.4482044959158	49.0	250.99174354345098	251	40.0	45419.0
SRR6443859_2	92.49873400999581	49.0	250.9530813095841	251	50.0	45419.0
SRR6443860_1	95.78128098354154	51.0	250.9931092603609	251	30.0	40344.0
SRR6443860_2	88.55096172912948	51.0	250.29550862581797	250	40.0	40344.0
SRR6443861_1	96.82487074108445	49.0	250.99207874850856	251	40.0	30172.0
SRR6443861_2	90.08683547660083	49.0	250.0919395465995	250	50.0	30172.0
SRR6443862_1	97.39772970657529	49.0	250.9957967444849	251	40.0	37352.0
SRR6443862_2	93.07667594774041	50.0	250.12435746412507	250	50.0	37352.0
SRR6443863_1	96.773922540536	49.0	250.9935310425943	251	40.0	23806.0
SRR6443863_2	90.06973032008737	49.0	250.10711585314627	250	50.0	23806.0
SRR6443864_1	92.1917808219178	50.0	250.9882800608828	251	40.0	6570.0
SRR6443864_2	84.47488584474885	51.0	250.7281582952816	251	40.0	6570.0
SRR6443865_1	94.77938253610706	52.0	250.994567377766	251	40.0	7547.0
SRR6443865_2	86.27269113555055	53.0	250.13594805883133	250	50.0	7547.0
SRR6443866_1	96.89753924480272	50.0	250.9950943996606	251	40.0	37712.0
SRR6443866_2	87.52916843445057	50.0	250.08928192617734	250	50.0	37712.0
SRR6443867_1	95.83493651404386	51.0	250.9918237783763	251	40.0	31188.0
SRR6443867_2	87.50160318071053	52.0	250.29941002949852	250	50.0	31188.0
SRR6443868_1	96.97566027964785	50.0	249.9567063697566	250	40.0	19310.0
SRR6443868_2	92.43397203521491	50.0	250.9884515794925	251	40.0	19310.0
SRR6443869_1	95.32170282561694	51.0	250.99597405502124	251	40.0	26826.0
SRR6443869_2	89.282785357489	52.0	250.15563259524342	250	50.0	26826.0
SRR6443870_1	95.56472408457968	51.0	249.9412641109392	250	40.0	17451.0
SRR6443870_2	89.38742765457567	52.0	250.9851011403358	251	40.0	17451.0
SRR6443871_1	97.06496706121793	51.0	249.94981522146645	250	40.0	37342.0
SRR6443871_2	93.45241283273526	52.0	250.98955599592952	251	40.0	37342.0
SRR6443872_1	96.19638119653024	50.0	250.99490267386057	251	40.0	33547.0
SRR6443872_2	84.13270933317435	51.0	250.11661251378663	250	50.0	33547.0
SRR6443873_1	95.54919089216669	52.0	250.98980380925104	251	40.0	34915.0
SRR6443873_2	88.91593870829156	52.0	250.76585994558212	251	40.0	34915.0
SRR6443874_1	96.24330178998974	51.0	250.9929312507126	251	40.0	35084.0
SRR6443874_2	88.2025994755444	52.0	250.91953597081292	251	50.0	35084.0
SRR6443875_1	96.22525244493917	51.0	250.9890474675996	251	40.0	50308.0
SRR6443875_2	86.32026715432933	51.0	250.7534189393337	251	40.0	50308.0
