Module	Section	Sample Name	Source
FastQC	all_sections	SRR6443835_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443835_1_fastqc.zip
FastQC	all_sections	SRR6443835_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443835_2_fastqc.zip
FastQC	all_sections	SRR6443836_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443836_1_fastqc.zip
FastQC	all_sections	SRR6443836_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443836_2_fastqc.zip
FastQC	all_sections	SRR6443837_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443837_1_fastqc.zip
FastQC	all_sections	SRR6443837_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443837_2_fastqc.zip
FastQC	all_sections	SRR6443838_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443838_1_fastqc.zip
FastQC	all_sections	SRR6443838_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443838_2_fastqc.zip
FastQC	all_sections	SRR6443839_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443839_1_fastqc.zip
FastQC	all_sections	SRR6443839_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443839_2_fastqc.zip
FastQC	all_sections	SRR6443840_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443840_1_fastqc.zip
FastQC	all_sections	SRR6443840_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443840_2_fastqc.zip
FastQC	all_sections	SRR6443841_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443841_1_fastqc.zip
FastQC	all_sections	SRR6443841_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443841_2_fastqc.zip
FastQC	all_sections	SRR6443842_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443842_1_fastqc.zip
FastQC	all_sections	SRR6443842_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443842_2_fastqc.zip
FastQC	all_sections	SRR6443843_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443843_1_fastqc.zip
FastQC	all_sections	SRR6443843_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443843_2_fastqc.zip
FastQC	all_sections	SRR6443844_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443844_1_fastqc.zip
FastQC	all_sections	SRR6443844_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443844_2_fastqc.zip
FastQC	all_sections	SRR6443845_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443845_1_fastqc.zip
FastQC	all_sections	SRR6443845_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443845_2_fastqc.zip
FastQC	all_sections	SRR6443846_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443846_1_fastqc.zip
FastQC	all_sections	SRR6443846_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443846_2_fastqc.zip
FastQC	all_sections	SRR6443847_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443847_1_fastqc.zip
FastQC	all_sections	SRR6443847_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443847_2_fastqc.zip
FastQC	all_sections	SRR6443848_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443848_1_fastqc.zip
FastQC	all_sections	SRR6443848_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443848_2_fastqc.zip
FastQC	all_sections	SRR6443849_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443849_1_fastqc.zip
FastQC	all_sections	SRR6443849_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443849_2_fastqc.zip
FastQC	all_sections	SRR6443850_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443850_1_fastqc.zip
FastQC	all_sections	SRR6443850_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443850_2_fastqc.zip
FastQC	all_sections	SRR6443851_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443851_1_fastqc.zip
FastQC	all_sections	SRR6443851_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443851_2_fastqc.zip
FastQC	all_sections	SRR6443852_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443852_1_fastqc.zip
FastQC	all_sections	SRR6443852_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443852_2_fastqc.zip
FastQC	all_sections	SRR6443853_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443853_1_fastqc.zip
FastQC	all_sections	SRR6443853_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443853_2_fastqc.zip
FastQC	all_sections	SRR6443854_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443854_1_fastqc.zip
FastQC	all_sections	SRR6443854_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443854_2_fastqc.zip
FastQC	all_sections	SRR6443855_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443855_1_fastqc.zip
FastQC	all_sections	SRR6443855_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443855_2_fastqc.zip
FastQC	all_sections	SRR6443856_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443856_1_fastqc.zip
FastQC	all_sections	SRR6443856_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443856_2_fastqc.zip
FastQC	all_sections	SRR6443857_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443857_1_fastqc.zip
FastQC	all_sections	SRR6443857_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443857_2_fastqc.zip
FastQC	all_sections	SRR6443858_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443858_1_fastqc.zip
FastQC	all_sections	SRR6443858_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443858_2_fastqc.zip
FastQC	all_sections	SRR6443859_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443859_1_fastqc.zip
FastQC	all_sections	SRR6443859_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443859_2_fastqc.zip
FastQC	all_sections	SRR6443860_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443860_1_fastqc.zip
FastQC	all_sections	SRR6443860_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443860_2_fastqc.zip
FastQC	all_sections	SRR6443861_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443861_1_fastqc.zip
FastQC	all_sections	SRR6443861_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443861_2_fastqc.zip
FastQC	all_sections	SRR6443862_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443862_1_fastqc.zip
FastQC	all_sections	SRR6443862_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443862_2_fastqc.zip
FastQC	all_sections	SRR6443863_1	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443863_1_fastqc.zip
FastQC	all_sections	SRR6443863_2	/local/workdir/rc969/fiber_microbiome_project/analysis/00_fastqc/fastqc_report/SRR6443863_2_fastqc.zip
