.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Fungus_006R_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_006R_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_034R_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_034R_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_044R_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_044R_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_049R_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_049R_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_060R_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_060R_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_100_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_100_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_110_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_110_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_11_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_11_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_18_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_18_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2093R_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2093R_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2137_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2137_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2146_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2146_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2154_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2154_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2155_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2155_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2156_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_2156_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_21_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_21_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_23_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_23_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_26_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_26_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_42_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_42_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_45_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_45_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_4_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_4_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_70_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_70_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_71_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_71_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_72_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_72_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_76_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_76_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_79_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_79_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_7_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_7_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_80_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_80_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_82_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_82_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_85_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_85_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_89_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_89_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_93_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_93_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_95_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_95_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_99_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_99_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_B_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_B_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_C_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_C_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_I_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_I_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Fungus_M6_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
