Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Fungus_006R_1	35.96509922400933	52.341135027391594
Fungus_006R_2	35.36085446727426	53.726384936504154
Fungus_034R_1	32.12622350626385	54.89900625140097
Fungus_034R_2	31.812408159199023	56.14430524768997
Fungus_044R_1	32.34557800867218	52.82663830483514
Fungus_044R_2	35.15667184815512	53.78385011862881
Fungus_049R_1	62.59642486278	30.014092864560155
Fungus_049R_2	69.61875092716214	23.04183355585225
Fungus_060R_1	32.91487639329971	54.26116196525312
Fungus_060R_2	31.302073603586773	56.5016501650165
Fungus_100_1	21.897979719792556	63.3814536728849
Fungus_100_2	20.375029027014474	68.82498645405991
Fungus_110_1	44.45878940967349	43.40911217139115
Fungus_110_2	48.22902048835252	41.24801197492749
Fungus_11_1	34.32837777602978	51.27821914575631
Fungus_11_2	37.491806287527204	50.21500301528619
Fungus_18_1	64.72229407634603	25.446214108865163
Fungus_18_2	56.55925501644433	33.827279110158536
Fungus_2093R_1	35.35577730112841	50.35344586403059
Fungus_2093R_2	35.465821132145855	56.144735615033106
Fungus_2137_1	30.10301614273577	56.66595865193996
Fungus_2137_2	30.533135089209857	59.09267912772585
Fungus_2146_1	74.38583158486016	17.335492078177396
Fungus_2146_2	81.22057195724364	9.568966941466073
Fungus_2154_1	25.156588087917093	57.84079262043047
Fungus_2154_2	19.794632350149946	69.83449113616521
Fungus_2155_1	51.64020634046176	37.61581609655933
Fungus_2155_2	22.210397155306254	64.33615465518105
Fungus_2156_1	30.411780664998645	53.71687818406535
Fungus_2156_2	20.352395020046423	68.54369517378592
Fungus_21_1	30.637011779293243	58.1928084314941
Fungus_21_2	31.506509609423432	58.7569745815251
Fungus_23_1	41.77749960882491	43.73181035831638
Fungus_23_2	33.55030511657018	55.864496948834294
Fungus_26_1	25.062339697919633	60.06518951268168
Fungus_26_2	42.5174551154175	48.92241379310345
Fungus_42_1	16.58778848962898	67.85860356412505
Fungus_42_2	28.259811081896974	59.75460122699387
Fungus_45_1	41.88328912466843	44.59917477158856
Fungus_45_2	48.547008547008545	42.337164750957854
Fungus_4_1	41.95642095503013	47.54100414740193
Fungus_4_2	26.44438597150697	62.165921136713905
Fungus_70_1	75.50484744579812	16.66793099786075
Fungus_70_2	80.43877349759524	10.631002412343918
Fungus_71_1	49.12342022480178	39.42861347706912
Fungus_71_2	37.92748210967825	51.68601335565408
Fungus_72_1	21.129047484187673	63.36259794203719
Fungus_72_2	19.92825450769376	68.36023789294816
Fungus_76_1	17.81061786834459	67.27472146856779
Fungus_76_2	8.089437934153052	79.9380399853759
Fungus_79_1	16.925640982475045	67.38102052154004
Fungus_79_2	17.80609754044545	68.94496725644349
Fungus_7_1	41.94069675673644	44.25946108459544
Fungus_7_2	40.06539140892179	51.153744973505205
Fungus_80_1	30.568451062354324	56.9780209196155
Fungus_80_2	20.761658929362586	68.47995685088513
Fungus_82_1	27.76993339914281	57.704082270177054
Fungus_82_2	19.35548363718152	71.26791538067451
Fungus_85_1	33.17235699311171	55.050164719976046
Fungus_85_2	27.312319057602075	63.14889687531197
Fungus_89_1	13.479682391405884	72.52125175151798
Fungus_89_2	26.441849602989258	64.81270434376461
Fungus_93_1	24.271808520538258	61.24439315825718
Fungus_93_2	29.801410783748068	60.45524763163283
Fungus_95_1	33.131159969673995	54.33950684140222
Fungus_95_2	38.78479367486191	51.404382829705035
Fungus_99_1	28.85438295567392	57.28265775932112
Fungus_99_2	34.32337275435587	55.23697752098944
Fungus_B_1	52.791084539280305	35.66059211266901
Fungus_B_2	41.945691736188415	47.13887255944265
Fungus_C_1	31.740541624371843	58.10870082835194
Fungus_C_2	46.85138539042821	43.417672343571816
Fungus_I_1	26.710391268430673	62.08726562695571
Fungus_I_2	15.33907427341227	73.11062157358501
Fungus_M6_1	17.41409200252651	67.07744822674067
Fungus_M6_2	24.296139011705257	65.68383706710028
Fungus_Q_1	51.54064425805323	38.72048400605008
Fungus_Q_2	53.721921524019045	37.51671895898699
Fungus_R_1	42.33364515123168	43.56719675709385
Fungus_R_2	23.691923916432803	61.87464920486437
