Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
Fungus_006R_1	(1, 36.402650152314806)	(2, 36.54295528338076)	(3, 36.755544133686016)	(4, 36.52469004249771)	(5, 36.67854680389625)	(6, 36.62764983890985)	(7, 36.47992327846657)	(8, 36.663653800348506)	(9, 36.68754779425591)	(10, 36.51071719590317)	(15, 36.577053742682)	(20, 36.59323045293284)	(25, 36.44327244919706)	(30, 36.23583346914215)	(35, 36.37012373227695)	(40, 36.61092404317467)	(45, 36.45255675763768)	(50, 36.37152527924381)	(55, 36.52509621532174)	(60, 36.57197407514197)	(65, 36.30628941067332)	(70, 36.35875841492309)	(75, 36.55965851395905)	(80, 36.39120711053166)	(85, 36.5439506575236)	(90, 36.228567488623405)	(95, 35.958532763354185)	(100, 36.29743634745327)	(105, 36.44727901816495)	(110, 36.40538805801752)	(115, 36.315408241296744)	(120, 36.43435670498565)	(125, 36.215863305294036)	(130, 36.29672429139139)	(135, 36.216169188531886)	(140, 36.05252917800148)	(145, 35.34226829971543)	(150, 35.634797979164844)	(155, 35.92674096453509)	(160, 35.864466145996566)	(165, 35.87129586681543)	(170, 35.70307512943624)	(175, 36.01914277476213)	(180, 35.79380711805338)	(185, 35.959996991312416)	(190, 35.67194022740664)	(195, 35.38132106457396)	(200, 34.922516265717256)	(205, 35.15763517155787)	(210, 34.84701826524089)	(215, 33.92907269741378)	(220, 34.73154949450014)	(225, 34.31721368409424)	(230, 34.45194619992141)	(235, 34.08778828218683)	(240, 34.68132833336607)	(245, 35.044522441076694)	(250, 35.81567024962246)
Fungus_006R_2	(1, 36.711817874111496)	(2, 36.76538504932994)	(3, 36.77517582018077)	(4, 36.74283242863769)	(5, 36.77344582481916)	(6, 36.7692336621996)	(7, 36.71314671112838)	(8, 36.470295478193286)	(9, 35.70501071844952)	(10, 36.46208176108514)	(15, 36.54254911055673)	(20, 36.61032481289725)	(25, 36.584735924983384)	(30, 36.58618260226403)	(35, 36.541669069438)	(40, 36.57467186501022)	(45, 36.5793679248831)	(50, 36.577309481126754)	(55, 36.5108977171583)	(60, 36.13236470308014)	(65, 36.31860747909589)	(70, 36.1412779400519)	(75, 36.51984354824556)	(80, 36.58542792312803)	(85, 36.51822888590806)	(90, 36.505198761423614)	(95, 36.52584337273878)	(100, 36.422121375471676)	(105, 36.408171094034024)	(110, 36.265526708370416)	(115, 36.26764783311813)	(120, 36.421502087277005)	(125, 36.42433777532625)	(130, 36.37270368188143)	(135, 36.295362860259004)	(140, 36.34809763191215)	(145, 36.24654941142549)	(150, 36.198249946721155)	(155, 36.310619413556644)	(160, 36.2748962629593)	(165, 36.200363549749895)	(170, 36.130278679687606)	(175, 36.191701036743595)	(180, 35.953686269102036)	(185, 35.992317817698606)	(190, 35.91297120435257)	(195, 35.569810327320134)	(200, 35.32290238062406)	(205, 35.522340758941446)	(210, 35.23462999410799)	(215, 35.35606563953415)	(220, 35.51239667842044)	(225, 35.40217058429955)	(230, 35.36084513927783)	(235, 35.1972127545105)	(240, 34.9250945605085)	(245, 35.27016857443113)	(250, 36.171181156910286)
Fungus_034R_1	(1, 36.463824064157805)	(2, 36.605464371995716)	(3, 36.69784065154043)	(4, 36.4213095564245)	(5, 36.70882418868771)	(6, 36.63059450574083)	(7, 36.505591392493336)	(8, 36.64095539338995)	(9, 36.672461457996064)	(10, 36.52463450474458)	(15, 36.56336330352917)	(20, 36.59046599088442)	(25, 36.46850638838385)	(30, 36.13946850638838)	(35, 36.364005877811266)	(40, 36.60644815820278)	(45, 36.442656471818886)	(50, 36.34934870862494)	(55, 36.54254937610521)	(60, 36.60583298049862)	(65, 36.37185624268387)	(70, 36.36551019899877)	(75, 36.56507683494807)	(80, 36.374463898782096)	(85, 36.488334039002766)	(90, 36.20679435132375)	(95, 35.93559313591193)	(100, 36.2582899554183)	(105, 36.43886827227217)	(110, 36.44652437050136)	(115, 36.43723443998904)	(120, 36.45792881870937)	(125, 36.34573236033972)	(130, 36.42956588876989)	(135, 36.41826604567756)	(140, 36.27636671564842)	(145, 35.83055216557496)	(150, 35.90442828323081)	(155, 36.121207441906805)	(160, 36.19021693108515)	(165, 36.14206370949665)	(170, 36.03096311424373)	(175, 36.30255784413838)	(180, 36.17951234091305)	(185, 36.042982740155914)	(190, 36.011720754153075)	(195, 35.92937411272446)	(200, 35.996727354237755)	(205, 35.94999377350502)	(210, 35.93797414759284)	(215, 35.747543025080326)	(220, 35.70179884993677)	(225, 35.61169503604693)	(230, 35.483475423726965)	(235, 35.361912438823346)	(240, 35.30049654529074)	(245, 35.755148945454)	(250, 36.359088657751364)
Fungus_034R_2	(1, 36.70199995018804)	(2, 36.76634454932629)	(3, 36.77995566735573)	(4, 36.71029364150333)	(5, 36.76187392592961)	(6, 36.73848721077931)	(7, 36.676595850663745)	(8, 36.54302508032178)	(9, 35.95880550920276)	(10, 36.55690269233643)	(15, 36.53565291026375)	(20, 36.53079624417823)	(25, 36.560489153445744)	(30, 36.58516350775822)	(35, 36.538788573136415)	(40, 36.5867799058554)	(45, 36.57015018305895)	(50, 36.565435481059)	(55, 36.53040771089138)	(60, 36.32671664466638)	(65, 36.381499838111125)	(70, 36.371923488829665)	(75, 36.445274090309084)	(80, 36.5651714776718)	(85, 36.51657991083659)	(90, 36.44615825259645)	(95, 36.47459091927972)	(100, 36.45223780229633)	(105, 36.51501581529725)	(110, 36.39442355109462)	(115, 36.36096983885831)	(120, 36.49958905133123)	(125, 36.43527184877089)	(130, 36.41782770043087)	(135, 36.34614579960648)	(140, 36.348125825010584)	(145, 36.29940972827576)	(150, 36.26722622101566)	(155, 36.282518492690095)	(160, 36.30219919802745)	(165, 36.312863938631665)	(170, 36.230452541655254)	(175, 36.33623072899803)	(180, 36.14707728325571)	(185, 36.07557719608478)	(190, 36.00973823815097)	(195, 35.844716196358746)	(200, 35.66161490373839)	(205, 35.65776194864387)	(210, 35.8400338721327)	(215, 35.45078578366666)	(220, 35.672393587301116)	(225, 35.62076842145772)	(230, 35.55279805900231)	(235, 35.35906235174306)	(240, 35.07979876286911)	(245, 35.32347938219122)	(250, 36.153918537437825)
Fungus_044R_1	(1, 36.32177043279064)	(2, 36.51201832610652)	(3, 36.240742861817886)	(4, 36.49855191033298)	(5, 36.59988546183425)	(6, 36.57218358831711)	(7, 36.078524093921295)	(8, 36.527988218931526)	(9, 36.602208950339524)	(10, 36.27891352368486)	(15, 36.491764705882346)	(20, 36.48966374867054)	(25, 36.40976846927923)	(30, 36.36476806021435)	(35, 36.41043606315962)	(40, 36.522159862554204)	(45, 36.279571300008186)	(50, 36.29918677902315)	(55, 36.28511494723063)	(60, 36.314210913850935)	(65, 36.201096293872205)	(70, 36.38737789413401)	(75, 36.23557882680193)	(80, 36.36252311216559)	(85, 36.35342223676675)	(90, 36.1004565164035)	(95, 35.81184651885789)	(100, 36.19965965802176)	(105, 36.313582590198806)	(110, 36.16134500531784)	(115, 36.161187924404814)	(120, 36.119453489323405)	(125, 36.11343532684284)	(130, 36.2397120183261)	(135, 36.11068313834575)	(140, 35.78187351713982)	(145, 35.66772805366931)	(150, 35.87623333060623)	(155, 35.95712018326107)	(160, 35.83978728626361)	(165, 35.972985355477384)	(170, 35.73149963184161)	(175, 35.85978237748507)	(180, 35.90142190951485)	(185, 36.043017262537845)	(190, 35.858695901169924)	(195, 35.75338623905752)	(200, 35.75152090321525)	(205, 35.820780495786636)	(210, 35.5404565164035)	(215, 35.57548556000982)	(220, 35.57706939578569)	(225, 35.714881969870575)	(230, 35.26580618301905)	(235, 35.190343313641854)	(240, 35.2274933950663)	(245, 35.51510680926271)	(250, 36.19474738482083)
Fungus_044R_2	(1, 36.63000899942731)	(2, 36.70576781477542)	(3, 36.698666448498734)	(4, 36.635245029861736)	(5, 36.69336496768388)	(6, 36.667544792604104)	(7, 36.62290763315062)	(8, 36.50601325370204)	(9, 36.063306880471245)	(10, 36.47782377485069)	(15, 36.47644277182361)	(20, 36.56410046633396)	(25, 36.49683711036571)	(30, 36.44186860836129)	(35, 36.472188497095644)	(40, 36.480559600752684)	(45, 36.50978974065286)	(50, 36.500652867544794)	(55, 36.28312198314653)	(60, 36.36842673648041)	(65, 36.29793013171889)	(70, 36.30730589871553)	(75, 36.48417246175243)	(80, 36.43484905506013)	(85, 36.41076986009981)	(90, 36.413090076086064)	(95, 36.41753088439826)	(100, 36.394577435981354)	(105, 36.370498241021025)	(110, 36.37475578826802)	(115, 36.26974065286755)	(120, 36.35159617115274)	(125, 36.26315961711528)	(130, 36.29339769287409)	(135, 36.26609506667758)	(140, 36.249670293708576)	(145, 36.25270064632251)	(150, 36.23590607870408)	(155, 36.18319888734353)	(160, 36.1348277836865)	(165, 36.21602552564836)	(170, 36.098244293544965)	(175, 36.116910742043686)	(180, 35.944756606397775)	(185, 36.0639090239712)	(190, 36.01649022334943)	(195, 35.79759797103821)	(200, 35.803632496113885)	(205, 35.4618702446208)	(210, 35.55878262292399)	(215, 35.53273991655077)	(220, 35.6712900303897)	(225, 35.68042185764601)	(230, 35.322962236625244)	(235, 35.38272658883761)	(240, 35.18824277980307)	(245, 35.21137727337121)	(250, 36.15461624026696)
Fungus_049R_1	(1, 36.3732013054443)	(2, 36.51726375908619)	(3, 36.21105919003115)	(4, 36.43749072837858)	(5, 36.59857587894971)	(6, 36.56402981753449)	(7, 36.002299362112446)	(8, 36.51561341047322)	(9, 36.59416258715324)	(10, 36.32613484646195)	(15, 36.55074172971369)	(20, 36.50511793502447)	(25, 36.25598575878949)	(30, 35.81255377540425)	(35, 36.25999851654056)	(40, 36.546862483311074)	(45, 36.4241173416407)	(50, 36.26588785046729)	(55, 36.50940513276962)	(60, 36.64450378282154)	(65, 36.3887108737576)	(70, 36.18358552143599)	(75, 36.56600652722149)	(80, 36.378512090194334)	(85, 36.575085298917074)	(90, 36.37272659842753)	(95, 35.83768728675271)	(100, 36.186411511645154)	(105, 36.49099540127577)	(110, 36.298805815160954)	(115, 36.09499332443257)	(120, 36.371806853582555)	(125, 36.4061971517579)	(130, 36.37758863670079)	(135, 36.44006453048509)	(140, 36.2687917222964)	(145, 35.90346758641151)	(150, 35.78398976412995)	(155, 35.33291054739653)	(160, 34.74192256341789)	(165, 35.15775107550809)	(170, 35.82250407951342)	(175, 35.76357365376057)	(180, 36.21932947633882)	(185, 36.15911214953271)	(190, 34.569392523364485)	(195, 35.43127874202641)	(200, 35.69403649310192)	(205, 36.02909063937101)	(210, 35.80788458685655)	(215, 35.67456608811749)	(220, 35.324855117791124)	(225, 36.02353330020456)	(230, 34.3987275099925)	(235, 35.20292927886369)	(240, 35.32866417745144)	(245, 35.499449274353445)	(250, 36.487583760346865)
Fungus_049R_2	(1, 36.70801809820502)	(2, 36.78766132621273)	(3, 36.75526628096721)	(4, 36.71291351431538)	(5, 36.756378875537756)	(6, 36.745327102803735)	(7, 36.69488948227266)	(8, 36.61952974336152)	(9, 36.38173119715176)	(10, 36.54765613410473)	(15, 36.44989615784009)	(20, 36.25139445186174)	(25, 36.441069574247145)	(30, 36.57469589081738)	(35, 36.46044726301735)	(40, 36.545972407654645)	(45, 36.253975671265394)	(50, 36.5769989615784)	(55, 36.46019878356327)	(60, 36.484757454383626)	(65, 36.299035751372195)	(70, 36.378797656134104)	(75, 36.468209464471144)	(80, 36.18185729120309)	(85, 36.34095089749295)	(90, 36.55064901349948)	(95, 36.502062008604064)	(100, 36.46832814122534)	(105, 36.3692256341789)	(110, 36.26031746031746)	(115, 36.43197967660585)	(120, 36.3252707313455)	(125, 36.27151016169708)	(130, 36.23864782673194)	(135, 36.35884512683579)	(140, 35.985328586263165)	(145, 36.16308411214953)	(150, 36.09430351579884)	(155, 36.311155614893934)	(160, 36.23232458092271)	(165, 36.131775700934575)	(170, 36.062546358107106)	(175, 36.196447114671415)	(180, 36.354257528556595)	(185, 35.446013202788905)	(190, 36.09725189141077)	(195, 35.431323245809224)	(200, 35.18800252188103)	(205, 35.46339934727785)	(210, 34.956249072837856)	(215, 35.610729120308555)	(220, 35.97896321935743)	(225, 36.14046308000669)	(230, 35.680961603060275)	(235, 35.851325641869416)	(240, 35.54565624240647)	(245, 35.13833821930563)	(250, 36.222681868630815)
Fungus_060R_1	(1, 36.435705834734414)	(2, 36.579749673080514)	(3, 36.8148950744131)	(4, 36.53205056354692)	(5, 36.74390684351454)	(6, 36.66408867301825)	(7, 36.506245718911515)	(8, 36.670216078211595)	(9, 36.715648545986674)	(10, 36.52615231334455)	(15, 36.60217199078399)	(20, 36.54393673329597)	(25, 36.44533034435519)	(30, 36.34556572638395)	(35, 36.34657450650725)	(40, 36.64563920542999)	(45, 36.51208418955103)	(50, 36.414782987732735)	(55, 36.59468709135065)	(60, 36.6557618780746)	(65, 36.37431969612056)	(70, 36.325621769724144)	(75, 36.61607572077963)	(80, 36.47028831185006)	(85, 36.6217273802852)	(90, 36.04265022728688)	(95, 35.896020922847)	(100, 36.33976959960147)	(105, 36.52353695746933)	(110, 36.43954169001806)	(115, 36.401556759449534)	(120, 36.459480665047636)	(125, 36.30161529360483)	(130, 36.494964817236436)	(135, 36.45328351703095)	(140, 36.26890590945887)	(145, 34.78976274985989)	(150, 35.90068621956535)	(155, 35.854299769599606)	(160, 35.993496481723646)	(165, 35.8980135749424)	(170, 35.845756273740584)	(175, 36.15458247711564)	(180, 36.112527554642256)	(185, 35.98684600535525)	(190, 35.353461610311975)	(195, 35.96648608257052)	(200, 35.99800485708948)	(205, 35.763195715798)	(210, 35.26877887788779)	(215, 35.33006787471199)	(220, 35.40898658744441)	(225, 35.377327619647616)	(230, 35.08439913577719)	(235, 35.24147195163623)	(240, 34.86712947908303)	(245, 35.58868195769567)	(250, 36.33453203368979)
Fungus_060R_2	(1, 36.70028021670092)	(2, 36.775228843639084)	(3, 36.78713493990909)	(4, 36.73405566971792)	(5, 36.773634721962765)	(6, 36.769001805840965)	(7, 36.71031820163148)	(8, 36.61394856466779)	(9, 36.18592689457625)	(10, 36.55627623139672)	(15, 36.53545301699982)	(20, 36.515900118313716)	(25, 36.55094090541129)	(30, 36.57881810822592)	(35, 36.5681399838097)	(40, 36.55726757581418)	(45, 36.568675509060334)	(50, 36.55708325549536)	(55, 36.424965439940216)	(60, 36.33174668410237)	(65, 36.35829628245843)	(70, 36.4647163584283)	(75, 36.55065197085746)	(80, 36.59661747306806)	(85, 36.39460240363659)	(90, 36.49678311227349)	(95, 36.507242044959206)	(100, 36.394149075284886)	(105, 36.33925649168691)	(110, 36.35420885484775)	(115, 36.2349013014509)	(120, 36.34689582165764)	(125, 36.37456628681736)	(130, 36.36053552525064)	(135, 36.00194532660813)	(140, 36.171390497540315)	(145, 36.341567968117566)	(150, 36.118575253751786)	(155, 36.218955103057475)	(160, 36.234164020175605)	(165, 36.222235506569525)	(170, 36.05786412603525)	(175, 36.1083529485024)	(180, 36.093923656516594)	(185, 35.62827324241859)	(190, 35.746885858397164)	(195, 35.65463104801046)	(200, 35.68666043962887)	(205, 35.35946447474936)	(210, 35.730090292048075)	(215, 35.33082508250825)	(220, 35.3138863387904)	(225, 35.799376352552756)	(230, 35.083589149783606)	(235, 34.76245176809287)	(240, 34.52304428898567)	(245, 35.26127381434839)	(250, 36.23454768726975)
