Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Fungus_006R_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0033425252778473908)	(28.0, 0.002506893958385543)	(29.0, 0.0008356313194618477)	(30.0, 0.0)	(31.0, 0.0016712626389236954)	(32.0, 0.002506893958385543)	(33.0, 0.015041363750313255)	(34.0, 0.007520681875156628)	(35.0, 0.01838388902816064)	(36.0, 0.3634996239659031)	(37.0, 1.2793515500960597)	(38.0, 0.9375783404361835)	(39.0, 0.4637753823013276)	(40.0, 0.6033258126514601)	(41.0, 0.5339684131361249)	(42.0, 0.9852093256455061)	(43.0, 2.0264059496950355)	(44.0, 5.174229130107311)	(45.0, 3.5673101027825163)	(46.0, 3.563131946185208)	(47.0, 6.52043118576096)	(48.0, 3.678449068270917)	(49.0, 3.4060332581264166)	(50.0, 3.170385226038229)	(51.0, 3.748642099105696)	(52.0, 3.646695078131374)	(53.0, 5.518509233725749)	(54.0, 7.164702933066337)	(55.0, 2.8152419152670247)	(56.0, 4.021057909250197)	(57.0, 5.032171805798803)	(58.0, 6.766942425002317)	(59.0, 4.912676527115785)	(60.0, 10.081056237989513)	(61.0, 7.292554524944059)	(62.0, 0.40862371521684415)	(63.0, 1.2592963984289764)	(64.0, 0.663491267652713)	(65.0, 0.2799364920197177)	(66.0, 0.04512409125093978)	(67.0, 0.002506893958385543)	(68.0, 0.0016712626389236954)	(69.0, 0.0016712626389236954)	(70.0, 0.0008356313194618477)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0008356313194618477)	(76.0, 0.010027575833542171)	(77.0, 0.0008356313194618477)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_006R_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0008130940668526031)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0008130940668526031)	(29.0, 0.0008130940668526031)	(30.0, 0.004065470334263015)	(31.0, 0.005691658467968221)	(32.0, 0.012196411002789042)	(33.0, 0.008944034735378635)	(34.0, 0.034963044874661946)	(35.0, 0.9244879540113996)	(36.0, 1.237529169749634)	(37.0, 0.8195988193874197)	(38.0, 1.0610877572426292)	(39.0, 1.2928195662956152)	(40.0, 3.229609633538486)	(41.0, 2.9377088635384676)	(42.0, 1.379007537382001)	(43.0, 1.7416474911983033)	(44.0, 1.8928829876329045)	(45.0, 2.340084724401887)	(46.0, 1.6839178124517618)	(47.0, 1.808321204680224)	(48.0, 4.512672071031601)	(49.0, 4.504541130363077)	(50.0, 4.445998357549703)	(51.0, 3.006008765154071)	(52.0, 3.021457552424267)	(53.0, 2.245765812646974)	(54.0, 4.976948783204333)	(55.0, 2.6157236130649104)	(56.0, 2.610845048663796)	(57.0, 1.9441079138446244)	(58.0, 3.975216892842153)	(59.0, 4.437054322814326)	(60.0, 3.889028921755797)	(61.0, 3.285713124151303)	(62.0, 2.452291705627559)	(63.0, 2.7441924756275924)	(64.0, 1.2269589468805508)	(65.0, 3.742671989722362)	(66.0, 0.5626610942620066)	(67.0, 0.06098205501394517)	(68.0, 0.08374868888581803)	(69.0, 0.6911299568247159)	(70.0, 0.6911299568247159)	(71.0, 1.2058185011423843)	(72.0, 7.480465415044623)	(73.0, 6.393358647662198)	(74.0, 0.665110946685434)	(75.0, 0.09269272362119674)	(76.0, 0.013009505069641646)	(77.0, 0.0032523762674104124)	(78.0, 0.0008130940668526031)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0008130940668526031)	(85.0, 0.0008130940668526031)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_034R_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.000803522643268096)	(33.0, 0.001607045286536192)	(34.0, 0.001607045286536192)	(35.0, 0.009642271719217154)	(36.0, 0.19686304760068332)	(37.0, 0.21052293253624077)	(38.0, 0.07553112846720092)	(39.0, 0.23623565712081948)	(40.0, 0.1984700928872195)	(41.0, 0.06267476617491143)	(42.0, 0.38247677819561404)	(43.0, 1.0301160286696827)	(44.0, 4.632308038440193)	(45.0, 7.64391090541018)	(46.0, 5.051746858226123)	(47.0, 1.4664288239642733)	(48.0, 2.6130556359079273)	(49.0, 8.757593288980267)	(50.0, 4.408125220968446)	(51.0, 3.496930543502632)	(52.0, 11.544209815833012)	(53.0, 14.567061999804839)	(54.0, 6.550316587921803)	(55.0, 1.6865940282197567)	(56.0, 2.121299778227846)	(57.0, 2.366374184424643)	(58.0, 2.7673319834153665)	(59.0, 3.7420049496993455)	(60.0, 2.322983961688161)	(61.0, 3.7966444894415634)	(62.0, 5.85768006942439)	(63.0, 1.3225982708192678)	(64.0, 0.33265837431299067)	(65.0, 0.1325812361392361)	(66.0, 0.11892135120367837)	(67.0, 0.016070452865361917)	(68.0, 0.02812329251438337)	(69.0, 0.1727573683026408)	(70.0, 0.0666923793912519)	(71.0, 0.008838749075949058)	(72.0, 0.001607045286536192)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_034R_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0008646779074794718)	(20.0, 0.0008646779074794718)	(21.0, 0.0008646779074794718)	(22.0, 0.0)	(23.0, 0.0008646779074794718)	(24.0, 0.0017293558149589436)	(25.0, 0.003458711629917887)	(26.0, 0.018158236057068903)	(27.0, 0.025075659316904683)	(28.0, 0.004323389537397359)	(29.0, 0.0)	(30.0, 0.002594033722438416)	(31.0, 0.11846087332468777)	(32.0, 0.12364894076956465)	(33.0, 0.007782101167315247)	(34.0, 0.013834846519671548)	(35.0, 0.20406398616515525)	(36.0, 0.054474708171206705)	(37.0, 0.012970168612192075)	(38.0, 0.03718115002161731)	(39.0, 0.5006485084306171)	(40.0, 3.9420665801987402)	(41.0, 0.8975356679636861)	(42.0, 0.7894509295287582)	(43.0, 1.042801556420229)	(44.0, 1.1128404669260623)	(45.0, 4.867271941201564)	(46.0, 3.802853437094577)	(47.0, 1.5062689148292299)	(48.0, 3.1733679204496648)	(49.0, 6.012105490704603)	(50.0, 7.188932122784698)	(51.0, 3.9420665801987402)	(52.0, 6.023346303501841)	(53.0, 3.7483787289233828)	(54.0, 2.6874189364463117)	(55.0, 5.090358841331218)	(56.0, 2.2248162559447526)	(57.0, 1.0687418936446118)	(58.0, 1.979247730220555)	(59.0, 5.048854301772213)	(60.0, 11.676610462603765)	(61.0, 3.5892779939471957)	(62.0, 2.0458279290964816)	(63.0, 1.9550367488111269)	(64.0, 1.0808473843493238)	(65.0, 1.6454820579334408)	(66.0, 0.3510592304366642)	(67.0, 1.6204063986165331)	(68.0, 2.718547341115566)	(69.0, 4.709900562040337)	(70.0, 1.1154345006485007)	(71.0, 0.06139213143104246)	(72.0, 0.01556420233463049)	(73.0, 0.01469952442715102)	(74.0, 0.0769563337656729)	(75.0, 0.04150453955901468)	(76.0, 0.0008646779074794718)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_044R_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0012083569969912474)	(30.0, 0.0012083569969912474)	(31.0, 0.0)	(32.0, 0.002416713993982495)	(33.0, 0.00483342798796499)	(34.0, 0.00483342798796499)	(35.0, 0.01933371195185996)	(36.0, 0.04833427987964992)	(37.0, 0.04591756588566743)	(38.0, 0.2235460444433814)	(39.0, 0.8482666118878641)	(40.0, 0.11116884372319463)	(41.0, 0.2175042594584251)	(42.0, 1.1491475041386745)	(43.0, 0.6742632043211194)	(44.0, 1.2180238529671716)	(45.0, 0.5220102227002179)	(46.0, 3.023309206472192)	(47.0, 2.5387580506786462)	(48.0, 5.280520076851563)	(49.0, 2.722428314221337)	(50.0, 2.6305931824499917)	(51.0, 3.5561946421453925)	(52.0, 7.118431069274833)	(53.0, 33.58024094638303)	(54.0, 6.97705330062689)	(55.0, 2.0735406068369633)	(56.0, 4.359752045144442)	(57.0, 3.237188394939667)	(58.0, 3.1465616201653135)	(59.0, 1.7484925746462991)	(60.0, 1.7629928586101933)	(61.0, 1.0838962263011507)	(62.0, 2.0239979699603166)	(63.0, 1.8741617023333847)	(64.0, 0.7745568350713958)	(65.0, 0.5606776466039389)	(66.0, 0.7274309121887358)	(67.0, 1.192648356030357)	(68.0, 1.686866367799749)	(69.0, 1.1962734270213304)	(70.0, 0.01933371195185996)	(71.0, 0.00483342798796499)	(72.0, 0.0012083569969912474)	(73.0, 0.002416713993982495)	(74.0, 0.0)	(75.0, 0.0012083569969912474)	(76.0, 0.002416713993982495)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_044R_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.001033848189731968)	(28.0, 0.001033848189731968)	(29.0, 0.0)	(30.0, 0.001033848189731968)	(31.0, 0.001033848189731968)	(32.0, 0.003101544569195904)	(33.0, 0.006203089138391808)	(34.0, 0.12612947914730013)	(35.0, 0.11992639000890828)	(36.0, 0.08064015879909342)	(37.0, 0.47143477451777727)	(38.0, 0.8518909083391474)	(39.0, 0.9459710936047512)	(40.0, 0.7123214027253326)	(41.0, 1.174451543535503)	(42.0, 1.4194735645019656)	(43.0, 1.2147716229350476)	(44.0, 0.3153236978682491)	(45.0, 0.8601616938570027)	(46.0, 0.47453631908697325)	(47.0, 4.0092632797805265)	(48.0, 1.749271137026472)	(49.0, 3.6815334036355676)	(50.0, 2.285838347497424)	(51.0, 3.349668134731681)	(52.0, 23.879825486421144)	(53.0, 22.585447552877895)	(54.0, 3.0953414800576473)	(55.0, 3.2524864048968984)	(56.0, 3.2607571904147514)	(57.0, 4.626470649050371)	(58.0, 4.103343465046114)	(59.0, 2.217604366975107)	(60.0, 1.3098856563903833)	(61.0, 1.4649628848501695)	(62.0, 1.8609267415175372)	(63.0, 0.9314972189485043)	(64.0, 0.3670161073548468)	(65.0, 0.27396977027897096)	(66.0, 0.8177739180779943)	(67.0, 0.34116990261154795)	(68.0, 0.561379567024461)	(69.0, 1.11862374128998)	(70.0, 0.05582780224552628)	(71.0, 0.005169240948659839)	(72.0, 0.008270785517855744)	(73.0, 0.002067696379463936)	(74.0, 0.002067696379463936)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.001033848189731968)	(78.0, 0.001033848189731968)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_049R_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.002264236386278251)	(31.0, 0.0033963545794173764)	(32.0, 0.0)	(33.0, 0.0011321181931391255)	(34.0, 0.0033963545794173764)	(35.0, 0.01018906373825213)	(36.0, 0.015849654703947755)	(37.0, 0.01018906373825213)	(38.0, 0.007924827351973878)	(39.0, 0.029435073021617256)	(40.0, 0.020378127476504256)	(41.0, 0.05434167327067807)	(42.0, 0.13472206498355596)	(43.0, 0.31812521227209345)	(44.0, 1.5611909883388246)	(45.0, 40.879655836074306)	(46.0, 36.372693309179255)	(47.0, 0.6260613608059393)	(48.0, 0.32152156685151073)	(49.0, 0.08264462809915611)	(50.0, 0.26944412996711176)	(51.0, 1.195516811954908)	(52.0, 1.1683459753195704)	(53.0, 2.8268991282684808)	(54.0, 12.64009962640029)	(55.0, 1.1558926751950407)	(56.0, 0.11321181931391242)	(57.0, 0.09736216460996468)	(58.0, 0.012453300124530383)	(59.0, 0.0033963545794173764)	(60.0, 0.006792709158834753)	(61.0, 0.029435073021617256)	(62.0, 0.004528472772556502)	(63.0, 0.007924827351973878)	(64.0, 0.01018906373825213)	(65.0, 0.0011321181931391255)	(66.0, 0.002264236386278251)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_049R_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0010967437677533128)	(28.0, 0.0021934875355066256)	(29.0, 0.0021934875355066256)	(30.0, 0.0021934875355066256)	(31.0, 0.0032902313032599387)	(32.0, 0.005483718838766563)	(33.0, 0.004386975071013251)	(34.0, 0.017547900284053)	(35.0, 0.03619254433585933)	(36.0, 0.025225106658326186)	(37.0, 0.032902313032599384)	(38.0, 0.06799811360070537)	(39.0, 0.1392864585046708)	(40.0, 0.27528268570608116)	(41.0, 0.8609438576863591)	(42.0, 37.180710470613846)	(43.0, 37.71263119797517)	(44.0, 2.957917941630791)	(45.0, 2.4687702212127576)	(46.0, 0.08006229504599177)	(47.0, 0.06361113852969214)	(48.0, 0.2500575790477553)	(49.0, 0.28405663584810753)	(50.0, 0.248960835280002)	(51.0, 0.03838603187136595)	(52.0, 0.059224163458678904)	(53.0, 1.0462935544366583)	(54.0, 0.988166134745736)	(55.0, 0.059224163458678904)	(56.0, 0.04277300694237922)	(57.0, 0.11077112054308445)	(58.0, 1.456475723576374)	(59.0, 12.475460358195928)	(60.0, 0.8938461707189566)	(61.0, 0.040579519406872586)	(62.0, 0.008773950142026503)	(63.0, 0.006580462606519876)	(64.0, 0.02412836289057287)	(65.0, 0.02303161912281956)	(66.0, 0.0010967437677533128)	(67.0, 0.0)	(68.0, 0.0010967437677533128)	(69.0, 0.0010967437677533128)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_060R_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0016651541516456406)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0024977312274684607)	(36.0, 0.019149272743924858)	(37.0, 0.08492286173392757)	(38.0, 0.31138382635773304)	(39.0, 0.5936274550616768)	(40.0, 0.6219350756396536)	(41.0, 0.43543781065533643)	(42.0, 0.6335911547011733)	(43.0, 0.9965947597599029)	(44.0, 5.1927832219065)	(45.0, 24.460281910598464)	(46.0, 14.515981316968835)	(47.0, 4.566685260887828)	(48.0, 6.332581238708459)	(49.0, 3.537619995171056)	(50.0, 2.3095688083325916)	(51.0, 3.9755555370537605)	(52.0, 2.595142745339838)	(53.0, 2.7175315754857645)	(54.0, 2.9414948088820525)	(55.0, 2.768318777110945)	(56.0, 5.825541799532131)	(57.0, 6.159405206937234)	(58.0, 3.8889675211682064)	(59.0, 1.748411859227947)	(60.0, 0.9033461272677522)	(61.0, 0.111565328160258)	(62.0, 0.49122047473546704)	(63.0, 0.6818806250988946)	(64.0, 0.32137475126760684)	(65.0, 0.18150180252937492)	(66.0, 0.06827132021747119)	(67.0, 0.003330308303291281)	(68.0, 0.0008325770758228203)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_060R_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0015763174072732)	(26.0, 0.0007881587036366)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0015763174072732)	(30.0, 0.0031526348145464)	(31.0, 0.007093428332729399)	(32.0, 0.011034221850912398)	(33.0, 0.014186856665458797)	(34.0, 0.039407935181830014)	(35.0, 0.2711265940509891)	(36.0, 0.09930799665821165)	(37.0, 0.18285281924369115)	(38.0, 0.953672031400273)	(39.0, 9.831491669164576)	(40.0, 19.833225618305196)	(41.0, 11.13037721275651)	(42.0, 2.633238228849942)	(43.0, 2.2344299248098496)	(44.0, 0.7621494664165901)	(45.0, 1.6795661974496203)	(46.0, 1.1901196424912397)	(47.0, 3.0296820567790617)	(48.0, 5.11672630400849)	(49.0, 3.620012925802741)	(50.0, 3.04544523085179)	(51.0, 2.706536988288129)	(52.0, 4.147291098535506)	(53.0, 1.9885244092752026)	(54.0, 3.0178596762245156)	(55.0, 2.179258815555281)	(56.0, 1.8206466054005876)	(57.0, 1.0096312993584684)	(58.0, 2.0208389161243066)	(59.0, 1.168051198789416)	(60.0, 2.9020003467899613)	(61.0, 1.7749334005896595)	(62.0, 1.0135720928766512)	(63.0, 1.519569980611372)	(64.0, 0.35940036885828947)	(65.0, 2.7672252084681337)	(66.0, 2.869685839940868)	(67.0, 0.30817005312190904)	(68.0, 0.007093428332729399)	(69.0, 0.0086697457400026)	(70.0, 0.10955405980548752)	(71.0, 0.558804520878355)	(72.0, 0.048865839625469185)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0007881587036366)	(79.0, 0.0)	(80.0, 0.0007881587036366)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
