Sample	Unique Reads	Duplicate Reads
Fungus_006R_1	2614.0	77155.0
Fungus_006R_2	3297.0	76472.0
Fungus_034R_1	2903.0	77399.0
Fungus_034R_2	3519.0	76783.0
Fungus_044R_1	2739.0	58376.0
Fungus_044R_2	2473.0	58642.0
Fungus_049R_1	1062.0	52866.0
Fungus_049R_2	934.0	52994.0
Fungus_060R_1	2602.0	77693.0
Fungus_060R_2	3447.0	76848.0
Fungus_100_1	2372.0	49304.0
Fungus_100_2	1931.0	49745.0
Fungus_110_1	1815.0	51630.0
Fungus_110_2	1738.0	51707.0
Fungus_11_1	2648.0	73630.0
Fungus_11_2	2493.0	73785.0
Fungus_18_1	1431.0	52691.0
Fungus_18_2	1333.0	52789.0
Fungus_2093R_1	2373.0	51242.0
Fungus_2093R_2	1977.0	51638.0
Fungus_2137_1	1808.0	54688.0
Fungus_2137_2	1959.0	54537.0
Fungus_2146_1	1278.0	59251.0
Fungus_2146_2	1127.0	59402.0
Fungus_2154_1	2733.0	49953.0
Fungus_2154_2	2168.0	50518.0
Fungus_2155_1	2379.0	77489.0
Fungus_2155_2	3313.0	76555.0
Fungus_2156_1	2784.0	63562.0
Fungus_2156_2	2636.0	63710.0
Fungus_21_1	1816.0	62704.0
Fungus_21_2	2129.0	62391.0
Fungus_23_1	2639.0	61271.0
Fungus_23_2	2320.0	61590.0
Fungus_26_1	2268.0	53876.0
Fungus_26_2	1836.0	54308.0
Fungus_42_1	2485.0	48860.0
Fungus_42_2	2271.0	49074.0
Fungus_45_1	2760.0	65100.0
Fungus_45_2	2449.0	65411.0
Fungus_4_1	2186.0	77623.0
Fungus_4_2	2862.0	76947.0
Fungus_70_1	1170.0	64741.0
Fungus_70_2	1132.0	64779.0
Fungus_71_1	1661.0	52698.0
Fungus_71_2	1937.0	52422.0
Fungus_72_1	2448.0	50517.0
Fungus_72_2	2452.0	50513.0
Fungus_76_1	2522.0	49447.0
Fungus_76_2	2810.0	49159.0
Fungus_79_1	2476.0	56925.0
Fungus_79_2	2715.0	56686.0
Fungus_7_1	2234.0	50984.0
Fungus_7_2	2029.0	51189.0
Fungus_80_1	1875.0	50038.0
Fungus_80_2	2102.0	49811.0
Fungus_82_1	3249.0	76780.0
Fungus_82_2	3000.0	77029.0
Fungus_85_1	2211.0	77925.0
Fungus_85_2	2275.0	77861.0
Fungus_89_1	2331.0	51194.0
Fungus_89_2	2158.0	51367.0
Fungus_93_1	2340.0	51389.0
Fungus_93_2	2092.0	51637.0
Fungus_95_1	1874.0	53524.0
Fungus_95_2	1722.0	53676.0
Fungus_99_1	2242.0	53143.0
Fungus_99_2	1881.0	53504.0
Fungus_B_1	1989.0	77962.0
Fungus_B_2	2234.0	77717.0
Fungus_C_1	1964.0	77833.0
Fungus_C_2	2231.0	77566.0
Fungus_I_1	2393.0	77501.0
Fungus_I_2	3356.0	76538.0
Fungus_M6_1	2720.0	71691.0
Fungus_M6_2	2055.0	72356.0
Fungus_Q_1	1719.0	78280.0
Fungus_Q_2	1702.0	78297.0
Fungus_R_1	2662.0	77513.0
Fungus_R_2	3514.0	76661.0
