Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Fungus_006R_1	(1.0, 1.6923867667891037)	(2.0, 1.1056926876355475)	(3.0, 0.827389085985784)	(4.0, 0.6619112687886272)	(5.0, 0.507716030036731)	(6.0, 0.42121626195639916)	(7.0, 0.3597888904210909)	(8.0, 0.32092667577630407)	(9.0, 0.29334703957677793)	('>10', 4.662212137547168)	('>50', 1.0705913324725143)	('>100', 7.361255625618974)	('>500', 3.442440045631762)	('>1k', 34.31032105203776)	('>5k', 6.99770587571613)	('>10k+', 35.96509922400933)
Fungus_006R_2	(1.0, 2.361819754541238)	(2.0, 1.5043437927014254)	(3.0, 1.0643232333362584)	(4.0, 0.6518823101706176)	(5.0, 0.4701074352191954)	(6.0, 0.3610425102483421)	(7.0, 0.2983615188857827)	(8.0, 0.18052125512417105)	(9.0, 0.2594993042409959)	('>10', 3.4136067896049846)	('>50', 0.347252692148579)	('>100', 7.659617144504757)	('>500', 12.733016585390313)	('>1k', 33.33375120660909)	('>5k', 0.0)	('>10k+', 35.36085446727426)
Fungus_034R_1	(1.0, 2.0011954870364375)	(2.0, 1.140693880600732)	(3.0, 0.7920101616398096)	(4.0, 0.6027247142038804)	(5.0, 0.4732136185898234)	(6.0, 0.3661179049089686)	(7.0, 0.5055913924933377)	(8.0, 0.26898458319842594)	(9.0, 0.3362307289980324)	('>10', 5.36599337500934)	('>50', 1.6886254389678963)	('>100', 7.699683694054943)	('>500', 4.011108067046898)	('>1k', 27.796318896166973)	('>5k', 0.0)	('>10k+', 46.95150805708451)
Fungus_034R_2	(1.0, 2.5839954172996937)	(2.0, 1.4171502577768922)	(3.0, 0.9825409080720281)	(4.0, 0.697367437921845)	(5.0, 0.6288759931259496)	(6.0, 0.4856666085527135)	(7.0, 0.32253244003885334)	(8.0, 0.3088341510796742)	(9.0, 0.2353615102986227)	('>10', 3.749595277826206)	('>50', 1.0796742297825708)	('>100', 7.5838708874000655)	('>500', 4.880326766456626)	('>1k', 23.19618440387537)	('>5k', 20.035615551293866)	('>10k+', 31.812408159199023)
Fungus_044R_1	(1.0, 2.400392702282582)	(2.0, 1.4464534075104312)	(3.0, 1.011208377648695)	(4.0, 0.9163053260247075)	(5.0, 0.7199541847336988)	(6.0, 0.3927022825820175)	(7.0, 0.42379121328642727)	(8.0, 0.366522130409883)	(9.0, 0.32397938313016444)	('>10', 5.826720117810685)	('>50', 2.9845373476233332)	('>100', 17.25926531947967)	('>500', 9.063241430090812)	('>1k', 14.685429109056697)	('>5k', 9.833919659658022)	('>10k+', 32.34557800867218)
Fungus_044R_2	(1.0, 2.4036652213040988)	(2.0, 1.3188251656712755)	(3.0, 0.8099484578254111)	(4.0, 0.6741389184324634)	(5.0, 0.44997136545856176)	(6.0, 0.32397938313016444)	(7.0, 0.26343778123210343)	(8.0, 0.27489159780741224)	(9.0, 0.22089503395238486)	('>10', 3.7879407674057104)	('>50', 1.8702446207968584)	('>100', 12.865908533093348)	('>500', 9.778286836292235)	('>1k', 29.801194469442855)	('>5k', 0.0)	('>10k+', 35.15667184815512)
Fungus_049R_1	(1.0, 1.066236463432725)	(2.0, 0.6156356623646343)	(3.0, 0.32821539830885627)	(4.0, 0.3115264797507788)	(5.0, 0.2966918854769322)	(6.0, 0.1557632398753894)	(7.0, 0.1687435098650052)	(8.0, 0.23735350838154576)	(9.0, 0.21695594125500667)	('>10', 3.8013647826731938)	('>50', 1.5594867230381249)	('>100', 5.663106364040944)	('>500', 2.3828067052366118)	('>1k', 4.06097018246551)	('>5k', 16.538718291054742)	('>10k+', 62.59642486278)
Fungus_049R_2	(1.0, 0.9141818721257973)	(2.0, 0.3449043168669337)	(3.0, 0.2892745883400089)	(4.0, 0.3931167482569352)	(5.0, 0.3245067497403946)	(6.0, 0.26702269692923897)	(7.0, 0.22066458982346834)	(8.0, 0.38569945112001186)	(9.0, 0.18357810413885178)	('>10', 4.01646639964397)	('>50', 0.43947485536270586)	('>100', 0.40424269396232015)	('>500', 1.620679424417742)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.19618750927162)
Fungus_060R_1	(1.0, 1.6962450962077338)	(2.0, 1.1034310978267636)	(3.0, 0.7995516532785354)	(4.0, 0.6027772588579613)	(5.0, 0.49193598605143535)	(6.0, 0.30637025966747616)	(7.0, 0.27897129335575066)	(8.0, 0.28893455383274175)	(9.0, 0.08966934429291985)	('>10', 5.514664674014572)	('>50', 1.8917740830686842)	('>100', 9.08649355501588)	('>500', 5.495983560620213)	('>1k', 19.295099321252877)	('>5k', 0.0)	('>10k+', 53.05809826265645)
Fungus_060R_2	(1.0, 2.503269194844013)	(2.0, 1.5343421134566286)	(3.0, 0.9191107790024287)	(4.0, 0.627685410050439)	(5.0, 0.473254872657077)	(6.0, 0.3586773771716794)	(7.0, 0.3312784108599539)	(8.0, 0.29889781430973283)	(9.0, 0.2577993648421446)	('>10', 3.9317516657326106)	('>50', 1.530605890777757)	('>100', 11.116507877202816)	('>500', 7.464972912385578)	('>1k', 16.712124042592936)	('>5k', 6.68036614982253)	('>10k+', 45.25935612429167)
Fungus_100_1	(1.0, 2.302809815001161)	(2.0, 1.5287560956730397)	(3.0, 1.224940010836752)	(4.0, 0.8746807028407771)	(5.0, 0.8321077482777304)	(6.0, 0.5921510952860128)	(7.0, 0.4470160229119901)	(8.0, 0.47991330598343523)	(9.0, 0.452821425806951)	('>10', 5.886678535490363)	('>50', 3.2626364269680317)	('>100', 14.660577444074619)	('>500', 5.350646334855639)	('>1k', 24.899373016487345)	('>5k', 15.306912299713602)	('>10k+', 21.897979719792556)
Fungus_100_2	(1.0, 1.9641613127951079)	(2.0, 1.2539670253115567)	(3.0, 0.9288644631937456)	(4.0, 0.8901617772273395)	(5.0, 0.5708646180044895)	(6.0, 0.4295998142271074)	(7.0, 0.31155662202956885)	(8.0, 0.4953943803699977)	(9.0, 0.36574038238253737)	('>10', 3.490982274169827)	('>50', 0.7605077792398792)	('>100', 12.121681244678381)	('>500', 6.370462110070439)	('>1k', 13.199551048842789)	('>5k', 36.47147612044276)	('>10k+', 20.375029027014474)
Fungus_110_1	(1.0, 1.8729535036018337)	(2.0, 0.9729628590139396)	(3.0, 0.7128824024698288)	(4.0, 0.6211993638319767)	(5.0, 0.43034895687155017)	(6.0, 0.2918888577041818)	(7.0, 0.3798297314996726)	(8.0, 0.3592478248666854)	(9.0, 0.2862756104406399)	('>10', 6.009916736832258)	('>50', 2.2340724108897)	('>100', 9.106558143886238)	('>500', 0.9972869304892881)	('>1k', 9.518196276545982)	('>5k', 21.747590981382732)	('>10k+', 44.45878940967349)
Fungus_110_2	(1.0, 1.7793993825428012)	(2.0, 1.00290017775283)	(3.0, 0.7690148751052484)	(4.0, 0.538871737300028)	(5.0, 0.44905978108335676)	(6.0, 0.5051922537187763)	(7.0, 0.4453176162409954)	(8.0, 0.22452989054167838)	(9.0, 0.20207690148751054)	('>10', 4.606604920946768)	('>50', 1.790625877069885)	('>100', 6.322387501169427)	('>500', 3.719711853307138)	('>1k', 19.515389652914212)	('>5k', 9.899897090466835)	('>10k+', 48.22902048835252)
Fungus_11_1	(1.0, 1.664962374472325)	(2.0, 1.16416266813498)	(3.0, 0.8927869110359474)	(4.0, 0.8495241091795799)	(5.0, 0.6030572379978499)	(6.0, 0.3932981986942499)	(7.0, 0.3579013608117675)	(8.0, 0.32512651092058)	(9.0, 0.37756627074647997)	('>10', 6.2403314192821)	('>50', 2.869765856472377)	('>100', 8.964576942237604)	('>500', 7.358609297569417)	('>1k', 16.262880516007236)	('>5k', 0.0)	('>10k+', 51.6754503264375)
Fungus_11_2	(1.0, 1.6728283384462097)	(2.0, 1.0042214006659849)	(3.0, 0.9439156768661999)	(4.0, 0.6764729017541099)	(5.0, 0.4195180786072)	(6.0, 0.385432234720365)	(7.0, 0.39460919268989747)	(8.0, 0.2097590393036)	(9.0, 0.31857154094234247)	('>10', 5.468155955845722)	('>50', 1.3752327014342274)	('>100', 6.63362961797635)	('>500', 3.206691313353785)	('>1k', 11.26930438658591)	('>5k', 8.585699677495477)	('>10k+', 57.43595794331262)
Fungus_18_1	(1.0, 1.4356453937400686)	(2.0, 0.8129780865452126)	(3.0, 0.6097335649089095)	(4.0, 0.4286611729056576)	(5.0, 0.388012268578397)	(6.0, 0.21063523151398691)	(7.0, 0.15520490743135879)	(8.0, 0.13303277779830752)	(9.0, 0.23280736114703818)	('>10', 5.036768781641476)	('>50', 2.5442518753926313)	('>100', 10.306344924429991)	('>500', 2.4167621300025868)	('>1k', 10.566867447618344)	('>5k', 0.0)	('>10k+', 64.72229407634603)
Fungus_18_2	(1.0, 1.2397915819814493)	(2.0, 0.6577731791138539)	(3.0, 0.654077824175012)	(4.0, 0.4064890432726063)	(5.0, 0.4434425926610251)	(6.0, 0.4323565278444995)	(7.0, 0.41387975315029013)	(8.0, 0.4286611729056576)	(9.0, 0.36584013894534567)	('>10', 4.183141790769004)	('>50', 1.069805254794723)	('>100', 3.044972469605706)	('>500', 1.6444329477846347)	('>1k', 3.2001773770370647)	('>5k', 25.2559033295148)	('>10k+', 56.55925501644433)
Fungus_2093R_1	(1.0, 2.4079082346358294)	(2.0, 1.3802107619136437)	(3.0, 1.0407535204700178)	(4.0, 0.7460598713046722)	(5.0, 0.6528023873915881)	(6.0, 0.36929963629581275)	(7.0, 0.5091858621654388)	(8.0, 0.2984239485218689)	(9.0, 0.5203767602350089)	('>10', 5.979669868506948)	('>50', 4.493145574932388)	('>100', 10.485871491187169)	('>500', 11.067798190804812)	('>1k', 15.14874568684137)	('>5k', 9.54397090366502)	('>10k+', 35.35577730112841)
Fungus_2093R_2	(1.0, 2.365009792035811)	(2.0, 0.940035437843887)	(3.0, 0.7721719668003357)	(4.0, 0.4849389163480369)	(5.0, 0.46628741956542014)	(6.0, 0.4252541266436632)	(7.0, 0.2611209549566353)	(8.0, 0.268581553669682)	(9.0, 0.2014361652522615)	('>10', 2.204606919705306)	('>50', 0.589387298330691)	('>100', 12.552457334701108)	('>500', 7.372936678168424)	('>1k', 24.10705959153222)	('>5k', 11.522894712300662)	('>10k+', 35.465821132145855)
Fungus_2137_1	(1.0, 1.4797507788161994)	(2.0, 1.072642310960068)	(3.0, 0.8124468988954971)	(4.0, 0.637213254035684)	(5.0, 0.7257150948739733)	(6.0, 0.5097706032285472)	(7.0, 0.37170773152081565)	(8.0, 0.2690455961483999)	(9.0, 0.33453695836873404)	('>10', 6.264160294534127)	('>50', 3.2073067119796095)	('>100', 10.052039082412914)	('>500', 0.0)	('>1k', 20.6333191730388)	('>5k', 23.527329368450864)	('>10k+', 30.10301614273577)
Fungus_2137_2	(1.0, 1.7629566694987255)	(2.0, 1.2284055508354574)	(3.0, 0.9186491079014444)	(4.0, 0.7009345794392523)	(5.0, 0.7257150948739733)	(6.0, 0.520390824129142)	(7.0, 0.4336590201076182)	(8.0, 0.22656471254602095)	(9.0, 0.20709430756159727)	('>10', 3.3701500991220614)	('>50', 2.0550127442650807)	('>100', 7.262461059190032)	('>500', 2.690455961483999)	('>1k', 25.591192296799775)	('>5k', 21.773222883035967)	('>10k+', 30.533135089209857)
