Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Fungus_006R_1	(220, 9.0)	(221, 46.0)	(222, 76.0)	(223, 44.0)	(224, 48.0)	(225, 41.0)	(226, 43.0)	(227, 14.0)	(228, 10.0)	(229, 15.0)	(230, 9.0)	(231, 3.0)	(232, 7.0)	(233, 80.0)	(234, 8.0)	(235, 31.0)	(236, 22.0)	(237, 33.0)	(238, 7.0)	(239, 16.0)	(240, 39.0)	(241, 31.0)	(242, 41.0)	(243, 130.0)	(244, 823.0)	(245, 18079.0)	(246, 18398.0)	(247, 18556.0)	(248, 6864.0)	(249, 4989.0)	(250, 11257.0)
Fungus_006R_2	(220, 3.0)	(221, 13.0)	(222, 14.0)	(223, 11.0)	(224, 42.0)	(225, 45.0)	(226, 43.0)	(227, 8.0)	(228, 8.0)	(229, 11.0)	(230, 7.0)	(231, 4.0)	(232, 8.0)	(233, 1.0)	(234, 3.0)	(235, 11.0)	(236, 11.0)	(237, 3.0)	(238, 2.0)	(239, 8.0)	(240, 10.0)	(241, 15.0)	(242, 19.0)	(243, 68.0)	(244, 541.0)	(245, 11488.0)	(246, 12867.0)	(247, 12442.0)	(248, 13316.0)	(249, 14312.0)	(250, 14435.0)
Fungus_034R_1	(220, 10.0)	(221, 18.0)	(222, 27.0)	(223, 14.0)	(224, 10.0)	(225, 13.0)	(226, 8.0)	(227, 1.0)	(228, 13.0)	(229, 4.0)	(230, 25.0)	(231, 23.0)	(232, 10.0)	(233, 11.0)	(234, 10.0)	(235, 4.0)	(236, 12.0)	(237, 1.0)	(238, 8.0)	(239, 8.0)	(240, 7.0)	(241, 6.0)	(242, 15.0)	(243, 91.0)	(244, 510.0)	(245, 18578.0)	(246, 19890.0)	(247, 18278.0)	(248, 6315.0)	(249, 4268.0)	(250, 12114.0)
Fungus_034R_2	(220, 1.0)	(221, 9.0)	(222, 7.0)	(223, 5.0)	(224, 17.0)	(225, 15.0)	(226, 19.0)	(227, 4.0)	(228, 3.0)	(229, 3.0)	(230, 23.0)	(231, 8.0)	(232, 7.0)	(233, 12.0)	(234, 11.0)	(235, 19.0)	(236, 12.0)	(237, 7.0)	(238, 9.0)	(239, 9.0)	(240, 10.0)	(241, 13.0)	(242, 19.0)	(243, 58.0)	(244, 495.0)	(245, 11221.0)	(246, 12626.0)	(247, 12768.0)	(248, 13177.0)	(249, 14837.0)	(250, 14878.0)
Fungus_044R_1	(220, 15.0)	(221, 11.0)	(222, 5.0)	(223, 0.0)	(224, 4.0)	(225, 23.0)	(226, 29.0)	(227, 27.0)	(228, 33.0)	(229, 38.0)	(230, 36.0)	(231, 13.0)	(232, 13.0)	(233, 2.0)	(234, 10.0)	(235, 13.0)	(236, 19.0)	(237, 37.0)	(238, 37.0)	(239, 29.0)	(240, 36.0)	(241, 82.0)	(242, 117.0)	(243, 231.0)	(244, 696.0)	(245, 13982.0)	(246, 18097.0)	(247, 13332.0)	(248, 2827.0)	(249, 2335.0)	(250, 8986.0)
Fungus_044R_2	(220, 6.0)	(221, 16.0)	(222, 14.0)	(223, 2.0)	(224, 1.0)	(225, 24.0)	(226, 5.0)	(227, 11.0)	(228, 45.0)	(229, 59.0)	(230, 41.0)	(231, 19.0)	(232, 12.0)	(233, 4.0)	(234, 8.0)	(235, 10.0)	(236, 14.0)	(237, 31.0)	(238, 26.0)	(239, 34.0)	(240, 47.0)	(241, 74.0)	(242, 83.0)	(243, 154.0)	(244, 471.0)	(245, 8836.0)	(246, 10078.0)	(247, 9218.0)	(248, 10243.0)	(249, 10741.0)	(250, 10788.0)
Fungus_049R_1	(221, 1.0)	(222, 3.0)	(223, 0.0)	(224, 0.0)	(225, 1.0)	(226, 1.0)	(227, 1.0)	(228, 3.0)	(229, 1.0)	(230, 1.0)	(231, 0.0)	(232, 0.0)	(233, 5.0)	(234, 17.0)	(235, 3.0)	(236, 2.0)	(237, 8.0)	(238, 10.0)	(239, 2.0)	(240, 1.0)	(241, 4.0)	(242, 17.0)	(243, 85.0)	(244, 365.0)	(245, 12597.0)	(246, 16642.0)	(247, 11792.0)	(248, 2311.0)	(249, 2444.0)	(250, 7611.0)	
Fungus_049R_2	(220, 2.0)	(221, 1.0)	(222, 0.0)	(223, 0.0)	(224, 5.0)	(225, 3.0)	(226, 2.0)	(227, 1.0)	(228, 0.0)	(229, 15.0)	(230, 2.0)	(231, 1.0)	(232, 1.0)	(233, 9.0)	(234, 5.0)	(235, 5.0)	(236, 6.0)	(237, 11.0)	(238, 16.0)	(239, 1.0)	(240, 6.0)	(241, 11.0)	(242, 17.0)	(243, 69.0)	(244, 724.0)	(245, 6929.0)	(246, 8813.0)	(247, 8746.0)	(248, 8823.0)	(249, 9793.0)	(250, 9911.0)
Fungus_060R_1	(220, 12.0)	(221, 69.0)	(222, 158.0)	(223, 176.0)	(224, 160.0)	(225, 157.0)	(226, 142.0)	(227, 57.0)	(228, 4.0)	(229, 8.0)	(230, 0.0)	(231, 4.0)	(232, 5.0)	(233, 3.0)	(234, 8.0)	(235, 7.0)	(236, 5.0)	(237, 5.0)	(238, 2.0)	(239, 4.0)	(240, 4.0)	(241, 32.0)	(242, 41.0)	(243, 92.0)	(244, 567.0)	(245, 19091.0)	(246, 20726.0)	(247, 18295.0)	(248, 6318.0)	(249, 3576.0)	(250, 10567.0)
Fungus_060R_2	(220, 7.0)	(221, 59.0)	(222, 97.0)	(223, 47.0)	(224, 165.0)	(225, 260.0)	(226, 192.0)	(227, 93.0)	(228, 5.0)	(229, 5.0)	(230, 4.0)	(231, 12.0)	(232, 4.0)	(233, 6.0)	(234, 18.0)	(235, 8.0)	(236, 14.0)	(237, 3.0)	(238, 3.0)	(239, 2.0)	(240, 2.0)	(241, 5.0)	(242, 8.0)	(243, 56.0)	(244, 562.0)	(245, 11396.0)	(246, 12878.0)	(247, 12537.0)	(248, 13111.0)	(249, 14078.0)	(250, 14658.0)
