Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Fungus_006R_1	Fungus_006R_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79769.0	19.6 Mbp	0.0	220-250	53.0	3.276962228434605	246.77052489062166	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_006R_2	Fungus_006R_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79769.0	19.7 Mbp	0.0	220-250	55.0	4.133184570447166	247.52813749702264	248	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_034R_1	Fungus_034R_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80302.0	19.8 Mbp	0.0	220-250	53.0	3.615102986226993	246.84767502677394	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_034R_2	Fungus_034R_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80302.0	19.8 Mbp	0.0	220-250	55.0	4.382207167941023	247.58618714353315	248	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_044R_1	Fungus_044R_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61115.0	15 Mbp	0.0	220-250	53.0	4.481714799967275	246.6352123046715	246	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_044R_2	Fungus_044R_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61115.0	15.1 Mbp	0.0	220-250	52.0	4.0464697701055385	247.4405137854864	248	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_049R_1	Fungus_049R_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53928.0	13.3 Mbp	0.0	221-250	47.0	1.9692923898531376	246.7376872867527	246	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_049R_2	Fungus_049R_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53928.0	13.3 Mbp	0.0	220-250	47.0	1.7319388814715917	247.58583667111705	248	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_060R_1	Fungus_060R_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80295.0	19.7 Mbp	0.0	220-250	49.0	3.240550470141354	246.5202316458061	246	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Fungus_060R_2	Fungus_060R_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80295.0	19.8 Mbp	0.0	220-250	48.0	4.292919858023538	247.32066753845197	248	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
