Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Fungus_006R_1	96.7230377715654	53.0	246.77052489062166	247	36.36363636363637	0.07976899999999999
Fungus_006R_2	95.86681542955283	55.0	247.52813749702264	248	36.36363636363637	0.07976899999999999
Fungus_034R_1	96.38489701377301	53.0	246.84767502677394	247	36.36363636363637	0.080302
Fungus_034R_2	95.61779283205898	55.0	247.58618714353315	248	36.36363636363637	0.080302
Fungus_044R_1	95.51828520003272	53.0	246.6352123046715	246	45.45454545454545	0.061114999999999996
Fungus_044R_2	95.95353022989445	52.0	247.4405137854864	248	45.45454545454545	0.061114999999999996
Fungus_049R_1	98.03070761014686	47.0	246.7376872867527	246	45.45454545454545	0.053928
Fungus_049R_2	98.26806111852841	47.0	247.58583667111705	248	45.45454545454545	0.053928
Fungus_060R_1	96.75944952985864	49.0	246.5202316458061	246	36.36363636363637	0.08029499999999999
Fungus_060R_2	95.70708014197646	48.0	247.32066753845197	248	36.36363636363637	0.08029499999999999
Fungus_100_1	95.40986144438423	51.0	246.6908816471863	246	45.45454545454545	0.051676
Fungus_100_2	96.26325566994349	53.0	247.55331294991873	248	45.45454545454545	0.051676
Fungus_110_1	96.60398540555711	51.0	246.6501075872392	246	45.45454545454545	0.053445
Fungus_110_2	96.7499298344092	50.0	247.61448217793995	248	36.36363636363637	0.053445
Fungus_11_1	96.52979889352106	49.0	246.686148037442	246	45.45454545454545	0.076278
Fungus_11_2	96.73169196885078	48.0	247.2148456960067	247	36.36363636363637	0.076278
Fungus_18_1	97.35597354125863	51.0	246.72050182920069	246	45.45454545454545	0.054121999999999997
Fungus_18_2	97.5370459332619	53.0	247.59243930379512	248	45.45454545454545	0.054121999999999997
Fungus_2093R_1	95.57399981348503	49.0	246.701501445491	246	45.45454545454545	0.053614999999999996
Fungus_2093R_2	96.31259908607666	49.0	247.58237433554044	248	45.45454545454545	0.053614999999999996
Fungus_2137_1	96.80154347210421	48.0	246.6021842254319	246	36.36363636363637	0.056496
Fungus_2137_2	96.53249787595583	48.0	247.50626593033135	248	45.45454545454545	0.056496
Fungus_2146_1	97.8886153744486	46.0	246.65471096499198	246	36.36363636363637	0.060529
Fungus_2146_2	98.13973467263625	42.0	247.29580862066118	248	45.45454545454545	0.060529
Fungus_2154_1	94.81456174315757	50.0	246.68460312037354	246	36.36363636363637	0.052686
Fungus_2154_2	95.886952890711	51.0	247.54769768059825	248	45.45454545454545	0.052686
Fungus_2155_1	97.02133520308509	52.0	246.9879676466169	247	36.36363636363637	0.079868
Fungus_2155_2	95.85190564431312	52.0	247.5695021785947	248	36.36363636363637	0.079868
Fungus_2156_1	95.80532360654749	52.0	246.6332107436771	246	45.45454545454545	0.066346
Fungus_2156_2	96.02839658758629	53.0	247.4750399421216	248	36.36363636363637	0.066346
Fungus_21_1	97.1869187848729	49.0	246.68206757594544	246	36.36363636363637	0.06452
Fungus_21_2	96.7002479851209	50.0	247.5776968381897	248	36.36363636363637	0.06452
Fungus_23_1	95.87075575027382	49.0	246.60337975277736	246	45.45454545454545	0.06391
Fungus_23_2	96.36989516507589	49.0	247.55360663432953	248	36.36363636363637	0.06391
Fungus_26_1	95.96038757480764	52.0	246.6934846110003	246	45.45454545454545	0.056144
Fungus_26_2	96.72983756055856	53.0	247.55254345967512	248	36.36363636363637	0.056144
Fungus_42_1	95.16019086571234	55.0	246.77452527023078	246	45.45454545454545	0.051344999999999995
Fungus_42_2	95.57697925796086	56.0	247.58523712143344	248	45.45454545454545	0.051344999999999995
Fungus_45_1	95.93280282935456	48.0	246.55888594164458	246	45.45454545454545	0.06786
Fungus_45_2	96.39109932213381	48.0	247.52690834070145	248	36.36363636363637	0.06786
Fungus_4_1	97.26096054329712	55.0	246.51008031675624	246	36.36363636363637	0.07980899999999999
Fungus_4_2	96.4151912691551	56.0	246.98102970842888	247	45.45454545454545	0.07980899999999999
Fungus_70_1	98.22487900350473	57.0	246.8017022955197	246	45.45454545454545	0.065911
Fungus_70_2	98.282532505955	61.0	247.63153343144543	248	36.36363636363637	0.065911
Fungus_71_1	96.94438823377914	48.0	246.5856251954598	246	45.45454545454545	0.054359
Fungus_71_2	96.43665262422046	48.0	247.5237771114259	248	45.45454545454545	0.054359
Fungus_72_1	95.37807986406118	56.0	246.5703766638346	246	36.36363636363637	0.052965
Fungus_72_2	95.3705277069763	56.0	247.5529500613613	248	45.45454545454545	0.052965
Fungus_76_1	95.14710692913083	55.0	246.73488040947487	246	45.45454545454545	0.051968999999999994
Fungus_76_2	94.59293040081587	54.0	247.48298023821894	248	45.45454545454545	0.051968999999999994
Fungus_79_1	95.83172000471373	56.0	246.46574973485295	246	45.45454545454545	0.059400999999999995
Fungus_79_2	95.42936987592802	56.0	247.26398545479032	248	36.36363636363637	0.059400999999999995
Fungus_7_1	95.80217219737683	51.0	246.6306700740351	246	45.45454545454545	0.053217999999999994
Fungus_7_2	96.18738020970349	53.0	247.58895486489533	248	45.45454545454545	0.053217999999999994
Fungus_80_1	96.38818792980564	53.0	246.6731647178934	246	45.45454545454545	0.051913
Fungus_80_2	95.95091788184077	53.0	247.58180031976576	248	45.45454545454545	0.051913
Fungus_82_1	95.94022166964476	54.0	246.60406852515962	246	45.45454545454545	0.080029
Fungus_82_2	96.25135888240513	55.0	247.55101275787527	248	36.36363636363637	0.080029
Fungus_85_1	97.24094040131776	50.0	246.68075521613258	246	36.36363636363637	0.080136
Fungus_85_2	97.16107617051013	50.0	247.5724143955276	248	36.36363636363637	0.080136
Fungus_89_1	95.6450256889304	55.0	246.6002428771602	246	45.45454545454545	0.053524999999999996
Fungus_89_2	95.96823914058851	57.0	247.5215693601121	248	36.36363636363637	0.053524999999999996
Fungus_93_1	95.64481006532785	51.0	246.5618195015727	246	45.45454545454545	0.053729
Fungus_93_2	96.10638575071191	52.0	247.46025423886542	248	45.45454545454545	0.053729
Fungus_95_1	96.61720639734287	46.0	246.56269179392757	246	45.45454545454545	0.055397999999999996
Fungus_95_2	96.89158453373769	45.0	247.5522582042673	248	45.45454545454545	0.055397999999999996
Fungus_99_1	95.95197255574614	53.0	246.68700911799223	246	45.45454545454545	0.055385
Fungus_99_2	96.60377358490567	53.0	247.5526767175228	248	36.36363636363637	0.055385
Fungus_B_1	97.51222623857113	50.0	246.7236557391402	246	36.36363636363637	0.079951
Fungus_B_2	97.20578854548411	51.0	247.6073344923766	248	36.36363636363637	0.079951
Fungus_C_1	97.53875458977154	50.0	247.03028935924908	247	36.36363636363637	0.07979699999999999
