Module	Section	Sample Name	Source
FastQC	all_sections	Fungus_4_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_4_1_fastqc.zip
FastQC	all_sections	Fungus_4_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_4_2_fastqc.zip
FastQC	all_sections	Fungus_006R_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_006R_1_fastqc.zip
FastQC	all_sections	Fungus_006R_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_006R_2_fastqc.zip
FastQC	all_sections	Fungus_7_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_7_1_fastqc.zip
FastQC	all_sections	Fungus_7_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_7_2_fastqc.zip
FastQC	all_sections	Fungus_11_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_11_1_fastqc.zip
FastQC	all_sections	Fungus_11_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_11_2_fastqc.zip
FastQC	all_sections	Fungus_18_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_18_1_fastqc.zip
FastQC	all_sections	Fungus_18_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_18_2_fastqc.zip
FastQC	all_sections	Fungus_21_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_21_1_fastqc.zip
FastQC	all_sections	Fungus_21_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_21_2_fastqc.zip
FastQC	all_sections	Fungus_23_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_23_1_fastqc.zip
FastQC	all_sections	Fungus_23_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_23_2_fastqc.zip
FastQC	all_sections	Fungus_26_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_26_1_fastqc.zip
FastQC	all_sections	Fungus_26_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_26_2_fastqc.zip
FastQC	all_sections	Fungus_034R_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_034R_1_fastqc.zip
FastQC	all_sections	Fungus_034R_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_034R_2_fastqc.zip
FastQC	all_sections	Fungus_42_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_42_1_fastqc.zip
FastQC	all_sections	Fungus_42_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_42_2_fastqc.zip
FastQC	all_sections	Fungus_044R_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_044R_1_fastqc.zip
FastQC	all_sections	Fungus_044R_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_044R_2_fastqc.zip
FastQC	all_sections	Fungus_45_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_45_1_fastqc.zip
FastQC	all_sections	Fungus_45_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_45_2_fastqc.zip
FastQC	all_sections	Fungus_049R_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_049R_1_fastqc.zip
FastQC	all_sections	Fungus_049R_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_049R_2_fastqc.zip
FastQC	all_sections	Fungus_060R_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_060R_1_fastqc.zip
FastQC	all_sections	Fungus_060R_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_060R_2_fastqc.zip
FastQC	all_sections	Fungus_70_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_70_1_fastqc.zip
FastQC	all_sections	Fungus_70_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_70_2_fastqc.zip
FastQC	all_sections	Fungus_71_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_71_1_fastqc.zip
FastQC	all_sections	Fungus_71_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_71_2_fastqc.zip
FastQC	all_sections	Fungus_72_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_72_1_fastqc.zip
FastQC	all_sections	Fungus_72_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_72_2_fastqc.zip
FastQC	all_sections	Fungus_76_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_76_1_fastqc.zip
FastQC	all_sections	Fungus_76_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_76_2_fastqc.zip
FastQC	all_sections	Fungus_79_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_79_1_fastqc.zip
FastQC	all_sections	Fungus_79_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_79_2_fastqc.zip
FastQC	all_sections	Fungus_80_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_80_1_fastqc.zip
FastQC	all_sections	Fungus_80_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_80_2_fastqc.zip
FastQC	all_sections	Fungus_82_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_82_1_fastqc.zip
FastQC	all_sections	Fungus_82_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_82_2_fastqc.zip
FastQC	all_sections	Fungus_85_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_85_1_fastqc.zip
FastQC	all_sections	Fungus_85_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_85_2_fastqc.zip
FastQC	all_sections	Fungus_89_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_89_1_fastqc.zip
FastQC	all_sections	Fungus_89_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_89_2_fastqc.zip
FastQC	all_sections	Fungus_93_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_93_1_fastqc.zip
FastQC	all_sections	Fungus_93_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_93_2_fastqc.zip
FastQC	all_sections	Fungus_95_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_95_1_fastqc.zip
FastQC	all_sections	Fungus_95_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_95_2_fastqc.zip
FastQC	all_sections	Fungus_99_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_99_1_fastqc.zip
FastQC	all_sections	Fungus_99_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_99_2_fastqc.zip
FastQC	all_sections	Fungus_100_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_100_1_fastqc.zip
FastQC	all_sections	Fungus_100_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_100_2_fastqc.zip
FastQC	all_sections	Fungus_110_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_110_1_fastqc.zip
FastQC	all_sections	Fungus_110_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_110_2_fastqc.zip
FastQC	all_sections	Fungus_2093R_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2093R_1_fastqc.zip
FastQC	all_sections	Fungus_2093R_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2093R_2_fastqc.zip
FastQC	all_sections	Fungus_2137_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2137_1_fastqc.zip
FastQC	all_sections	Fungus_2137_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2137_2_fastqc.zip
FastQC	all_sections	Fungus_2146_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2146_1_fastqc.zip
FastQC	all_sections	Fungus_2146_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2146_2_fastqc.zip
FastQC	all_sections	Fungus_2154_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2154_1_fastqc.zip
FastQC	all_sections	Fungus_2154_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2154_2_fastqc.zip
FastQC	all_sections	Fungus_2155_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2155_1_fastqc.zip
FastQC	all_sections	Fungus_2155_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2155_2_fastqc.zip
FastQC	all_sections	Fungus_2156_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2156_1_fastqc.zip
FastQC	all_sections	Fungus_2156_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_2156_2_fastqc.zip
FastQC	all_sections	Fungus_B_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_B_1_fastqc.zip
FastQC	all_sections	Fungus_B_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_B_2_fastqc.zip
FastQC	all_sections	Fungus_C_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_C_1_fastqc.zip
FastQC	all_sections	Fungus_C_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_C_2_fastqc.zip
FastQC	all_sections	Fungus_I_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_I_1_fastqc.zip
FastQC	all_sections	Fungus_I_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_I_2_fastqc.zip
FastQC	all_sections	Fungus_M6_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_M6_1_fastqc.zip
FastQC	all_sections	Fungus_M6_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_M6_2_fastqc.zip
FastQC	all_sections	Fungus_Q_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_Q_1_fastqc.zip
FastQC	all_sections	Fungus_Q_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_Q_2_fastqc.zip
FastQC	all_sections	Fungus_R_1	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_R_1_fastqc.zip
FastQC	all_sections	Fungus_R_2	/home/sebas/fiber_microbiome_project/analysis/00_multiqc/its/Fungus_R_2_fastqc.zip
